feature,ks_train_val,ks_train_test,max_ks
Fwd Header Length,0.0021047536314563464,0.0006362418941671111,0.0021047536314563464
Flow IAT Max,0.0018022223086597844,0.000910989728135525,0.0018022223086597844
Flow IAT Std,0.0017762910524199427,0.0012894625870626397,0.0017762910524199427
Bwd IAT Std,0.0015589624286966863,0.0016562046395957042,0.0016562046395957042
Flow Duration,0.0016207035149817806,0.0009156203096069016,0.0016207035149817806
Bwd IAT Total,0.0015984767239191067,0.0010813951262821364,0.0015984767239191067
Bwd IAT Mean,0.001597241902193458,0.0010560812809052855,0.001597241902193458
Fwd IAT Max,0.0015811892197593602,0.000904815619506949,0.0015811892197593602
Idle Std,0.0015774847545823034,0.000536838745248347,0.0015774847545823034
Flow IAT Mean,0.0015250048312400177,0.0013203331302051868,0.0015250048312400177
Bwd IAT Max,0.0015213003660629054,0.0011131917857190032,0.0015213003660629054
Fwd IAT Mean,0.001481786070840485,0.001348116619033446,0.001481786070840485
Idle Max,0.0014719074970348522,0.0007128008411605435,0.0014719074970348522
Idle Min,0.0014435065973438244,0.0005655483503708147,0.0014435065973438244
Fwd IAT Std,0.0014330106126753117,0.0008606707428131521,0.0014330106126753117
Idle Mean,0.001432393201812543,0.0006877957012151326,0.001432393201812543
Fwd IAT Total,0.0013897918522758346,0.0009597651863006984,0.0013897918522758346
Bwd IAT Min,0.0009699524655376601,0.0012462438266631626,0.0012462438266631626
Flow Bytes/s,0.0010236672106055389,0.0009906357294431345,0.0010236672106055389
Fwd IAT Min,0.0009458734418865133,0.0010187279237028335,0.0010187279237028335
