,q01,q25,q50,q75,q99,iqr,outlier_signal
Bwd IAT Min,0.0,0.0,3.0,48.0,59000000.0,48.0,1229166.6666666667
Fwd IAT Min,0.0,1.0,3.0,56.0,64061040.36,55.0,1164746.1883636364
Flow IAT Min,0.0,3.0,4.0,78.0,996632.6800000002,75.0,13288.435733333336
Bwd IAT Mean,0.0,0.0,4.0,39384.099609375,59000000.0,39384.099609375,1498.0664934626468
Bwd IAT Std,0.0,0.0,0.0,48109.79296875,40300000.0,48109.79296875,837.6672921078065
Bwd IAT Max,0.0,0.0,4.0,139829.0,99200000.0,139829.0,709.4379563609838
Bwd IAT Total,0.0,0.0,4.0,213275.0,117304619.12000002,213275.0,550.0157970695113
Bwd Packets/s,0.0,0.178818941116333,16.593379974365234,93.2374038696289,48780.48828125,93.05858492851257,524.1911675180004
Init Bwd Win Bytes,-1.0,-1.0,-1.0,235.0,52560.0,236.0,222.71610169491527
Flow Bytes/s,0.0,119.46579220000001,3151.18316620282,32978.7884204498,4500000.0,32859.3226282498,136.94743652844696
Fwd Packets/s,0.031212257221341133,0.906177282333374,31.805604934692383,4048.5830078125,541666.6875,4047.6768305301666,133.82161643986657
Flow Packets/s,0.05962956180633072,1.446174122349535,61.58962831,5277.044855,666666.666666667,5275.598680877651,126.3679531677717
Fwd IAT Mean,0.0,1.0,213.0,1013727.875,64061041.36,1013726.875,63.1935908377688
Packet Length Variance,0.0,76.80000305175781,1406.25,168300.625,9696701.0,168223.82499694824,57.64166282734273
Subflow Bwd Bytes,0.0,26.0,183.0,2281.0,87489.68000000017,2255.0,38.798084257206284
Bwd Packets Length Total,0.0,26.0,183.0,2281.0,87489.68000000017,2255.0,38.798084257206284
Subflow Fwd Bytes,0.0,37.0,74.0,356.0,11607.0,319.0,36.38557993730407
Fwd Packets Length Total,0.0,37.0,74.0,356.0,11607.0,319.0,36.38557993730407
Fwd Packet Length Mean,0.0,8.666666984558105,39.45454406738281,54.0,1375.0,45.333333015441895,30.330882565630763
Avg Fwd Segment Size,0.0,8.666666984558105,39.45454406738281,54.0,1375.0,45.333333015441895,30.330882565630763
Flow IAT Mean,3.0,291.3333435058594,28030.833984375,816800.8125,22700000.0,816509.4791564941,27.801265728660653
Fwd IAT Std,0.0,0.0,0.0,1750050.1875,44600000.0,1750050.1875,25.484983412797124
Fwd IAT Total,0.0,1.0,257.0,5542356.5,118000000.0,5542355.5,21.290586646778614
Flow Duration,4.0,474.0,64670.0,5854373.0,118003525.8,5853899.0,20.158106895933802
