column,dtype,non_null_count,null_count,null_ratio,memory_mb
Active Mean,float32,1619667,0,0.0,6.178539276123047
Active Std,float32,1619667,0,0.0,6.178539276123047
Avg Bwd Segment Size,float32,1619667,0,0.0,6.178539276123047
Avg Fwd Segment Size,float32,1619667,0,0.0,6.178539276123047
Avg Packet Size,float32,1619667,0,0.0,6.178539276123047
Bwd IAT Mean,float32,1619667,0,0.0,6.178539276123047
Bwd IAT Std,float32,1619667,0,0.0,6.178539276123047
Bwd Packet Length Mean,float32,1619667,0,0.0,6.178539276123047
Bwd Packet Length Std,float32,1619667,0,0.0,6.178539276123047
Bwd Packets/s,float32,1619667,0,0.0,6.178539276123047
Flow IAT Mean,float32,1619667,0,0.0,6.178539276123047
Flow IAT Std,float32,1619667,0,0.0,6.178539276123047
Fwd IAT Mean,float32,1619667,0,0.0,6.178539276123047
Fwd IAT Std,float32,1619667,0,0.0,6.178539276123047
Fwd Packet Length Mean,float32,1619667,0,0.0,6.178539276123047
Fwd Packet Length Std,float32,1619667,0,0.0,6.178539276123047
Fwd Packets/s,float32,1619667,0,0.0,6.178539276123047
Idle Mean,float32,1619667,0,0.0,6.178539276123047
Idle Std,float32,1619667,0,0.0,6.178539276123047
Packet Length Mean,float32,1619667,0,0.0,6.178539276123047
Packet Length Std,float32,1619667,0,0.0,6.178539276123047
Packet Length Variance,float32,1619667,0,0.0,6.178539276123047
Flow Bytes/s,float64,1619667,0,0.0,12.357078552246094
Flow Packets/s,float64,1619667,0,0.0,12.357078552246094
Bwd Packet Length Max,int16,1619667,0,0.0,3.0892696380615234
Bwd Packet Length Min,int16,1619667,0,0.0,3.0892696380615234
Down/Up Ratio,int16,1619667,0,0.0,3.0892696380615234
Fwd Packet Length Max,int16,1619667,0,0.0,3.0892696380615234
Fwd Packet Length Min,int16,1619667,0,0.0,3.0892696380615234
Packet Length Max,int16,1619667,0,0.0,3.0892696380615234
Packet Length Min,int16,1619667,0,0.0,3.0892696380615234
Active Max,int32,1619667,0,0.0,6.178539276123047
Active Min,int32,1619667,0,0.0,6.178539276123047
Bwd Header Length,int32,1619667,0,0.0,6.178539276123047
Bwd IAT Max,int32,1619667,0,0.0,6.178539276123047
Bwd IAT Min,int32,1619667,0,0.0,6.178539276123047
Bwd IAT Total,int32,1619667,0,0.0,6.178539276123047
Bwd Packets Length Total,int32,1619667,0,0.0,6.178539276123047
Flow Duration,int32,1619667,0,0.0,6.178539276123047
Flow IAT Max,int32,1619667,0,0.0,6.178539276123047
Flow IAT Min,int32,1619667,0,0.0,6.178539276123047
Fwd Act Data Packets,int32,1619667,0,0.0,6.178539276123047
Fwd IAT Max,int32,1619667,0,0.0,6.178539276123047
Fwd IAT Min,int32,1619667,0,0.0,6.178539276123047
Fwd IAT Total,int32,1619667,0,0.0,6.178539276123047
Fwd Packets Length Total,int32,1619667,0,0.0,6.178539276123047
Fwd Seg Size Min,int32,1619667,0,0.0,6.178539276123047
Idle Max,int32,1619667,0,0.0,6.178539276123047
Idle Min,int32,1619667,0,0.0,6.178539276123047
Init Bwd Win Bytes,int32,1619667,0,0.0,6.178539276123047
Init Fwd Win Bytes,int32,1619667,0,0.0,6.178539276123047
Subflow Bwd Bytes,int32,1619667,0,0.0,6.178539276123047
Subflow Bwd Packets,int32,1619667,0,0.0,6.178539276123047
Subflow Fwd Bytes,int32,1619667,0,0.0,6.178539276123047
Subflow Fwd Packets,int32,1619667,0,0.0,6.178539276123047
Total Backward Packets,int32,1619667,0,0.0,6.178539276123047
Total Fwd Packets,int32,1619667,0,0.0,6.178539276123047
Fwd Header Length,int64,1619667,0,0.0,12.357078552246094
attack_label,int64,1619667,0,0.0,12.357078552246094
ACK Flag Count,int8,1619667,0,0.0,1.5446348190307617
Bwd Avg Bulk Rate,int8,1619667,0,0.0,1.5446348190307617
Bwd Avg Bytes/Bulk,int8,1619667,0,0.0,1.5446348190307617
Bwd Avg Packets/Bulk,int8,1619667,0,0.0,1.5446348190307617
Bwd PSH Flags,int8,1619667,0,0.0,1.5446348190307617
Bwd URG Flags,int8,1619667,0,0.0,1.5446348190307617
CWE Flag Count,int8,1619667,0,0.0,1.5446348190307617
ECE Flag Count,int8,1619667,0,0.0,1.5446348190307617
FIN Flag Count,int8,1619667,0,0.0,1.5446348190307617
Fwd Avg Bulk Rate,int8,1619667,0,0.0,1.5446348190307617
Fwd Avg Bytes/Bulk,int8,1619667,0,0.0,1.5446348190307617
Fwd Avg Packets/Bulk,int8,1619667,0,0.0,1.5446348190307617
Fwd PSH Flags,int8,1619667,0,0.0,1.5446348190307617
Fwd URG Flags,int8,1619667,0,0.0,1.5446348190307617
PSH Flag Count,int8,1619667,0,0.0,1.5446348190307617
Protocol,int8,1619667,0,0.0,1.5446348190307617
RST Flag Count,int8,1619667,0,0.0,1.5446348190307617
SYN Flag Count,int8,1619667,0,0.0,1.5446348190307617
URG Flag Count,int8,1619667,0,0.0,1.5446348190307617
Label,object,1619667,0,0.0,97.6376371383667
attack_type,object,1619667,0,0.0,98.29296588897705
source_file,object,1619667,0,0.0,129.55801963806152
