,variance
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
CWE Flag Count,9.261082891507157e-06
Fwd URG Flags,9.261082891507157e-06
RST Flag Count,0.0002938013822086398
ECE Flag Count,0.00029503547737398515
FIN Flag Count,0.03164855318154223
SYN Flag Count,0.03687973952595221
Fwd PSH Flags,0.03687973952595221
URG Flag Count,0.08219810042874566
PSH Flag Count,0.1977936306396312
ACK Flag Count,0.20486899447772947
Down/Up Ratio,0.49640197334684505
Protocol,29.33559885302112
Packet Length Min,701.3219597525014
Fwd Packet Length Min,4051.397827409994
Bwd Packet Length Min,5384.910377977691
Avg Fwd Segment Size,40888.32421875
Fwd Packet Length Mean,40888.32421875
Fwd Packet Length Std,94704.5625
Packet Length Mean,106301.0546875
Avg Packet Size,124407.4375
Bwd Packet Length Mean,424093.8125
Avg Bwd Segment Size,424093.8125
Packet Length Std,465215.71875
Fwd Act Data Packets,558826.0739867337
Fwd Packet Length Max,616446.8801318564
Subflow Fwd Packets,765902.0666369074
Total Fwd Packets,765902.0666369074
Bwd Packet Length Std,832394.0
Total Backward Packets,1344507.6611333978
Subflow Bwd Packets,1344507.6611333978
Bwd Packet Length Max,4434172.294157377
Packet Length Max,4796402.111680531
Subflow Fwd Bytes,51291084.701529235
Fwd Packets Length Total,51291084.701529235
Init Bwd Win Bytes,77120557.30343354
Init Fwd Win Bytes,219612139.66009048
Bwd Packets/s,907934272.0
Fwd Packets/s,12906925056.0
Flow Packets/s,15424930529.930355
Active Std,186954432512.0
Active Min,391700371325.4554
Active Mean,497020862464.0
Fwd Seg Size Min,1145932853990.1646
Active Max,1257946063966.141
Bwd Header Length,2253312566551.059
Packet Length Variance,3252701888512.0
Subflow Bwd Bytes,7043874427641.288
Bwd Packets Length Total,7043988242285.669
Flow IAT Min,9888897638423.49
Flow IAT Mean,23686874660864.0
Idle Std,25918569447424.0
Bwd IAT Std,47479999430656.0
Flow Bytes/s,67141383013430.016
Flow IAT Std,76896708591616.0
Fwd Header Length,78354245060019.14
Bwd IAT Min,84129298980829.02
Fwd IAT Min,89176990714015.66
Bwd IAT Mean,95614478057472.0
Fwd IAT Mean,108376688164864.0
Fwd IAT Std,110842485932032.0
Bwd IAT Max,353638109187925.0
Idle Min,650854377808049.0
Idle Mean,664473249513472.0
Idle Max,706091874546761.0
Flow IAT Max,708969537338589.1
Fwd IAT Max,713829252143767.0
Bwd IAT Total,982669168169077.0
Fwd IAT Total,1321978530520511.0
Flow Duration,1325912435088391.8
