feature,single_feature_auc,separability_score,class_overlap_score,ks_class_train,ks_train_val,ks_train_test,suspicious_score,mean_normal_train,mean_attack_train,std_normal_train,std_attack_train
Fwd IAT Min,0.5060384930555556,0.012076986111111188,0.9867663370026417,0.028216666666666668,0.0015416666666666634,0.0026499999999999857,0.7902322388236752,0.013430191484897517,0.009295205835062749,0.08781893481392347,0.07532145911217529
Init Bwd Win Bytes,0.5125242065277777,0.025048413055555496,0.965345233383022,0.08643333333333325,0.0026416666666666533,0.004416666666666735,0.7755611084301066,0.04356845474243164,0.030949974314371746,0.15157496445837282,0.13141110483337218
Flow Bytes/s,0.4664628095833333,0.06707438083333339,0.9847250162235109,0.0953,0.002375000000000016,0.0029000000000000137,0.7754101637145978,0.0854673615843525,0.08548281823249552,0.004062013890490702,0.0045503463358189345
Flow IAT Min,0.4812553600000001,0.03748927999999985,0.9667363577133116,0.03751666666666667,0.0017583333333334172,0.0026166666666666005,0.7728560100756547,0.002572685668097942,0.001330609146684009,0.033058465942588336,0.023714573616240908
Bwd IAT Max,0.5373913393055556,0.07478267861111121,0.9658102682849303,0.08504999999999996,0.0029916666666666702,0.005099999999999993,0.7635199779039339,0.032131879295833325,0.05277976328319444,0.11389246463370273,0.16850338276549856
Fwd Packet Length Mean,0.47811031875,0.04377936250000003,0.950192436412316,0.04776666666666665,0.00275000000000003,0.002041666666666664,0.7622109994017738,0.009407341784888246,0.01213758551703852,0.016344006032922378,0.03734363238427437
Avg Fwd Segment Size,0.4792555348611111,0.04148893027777778,0.9462660636547741,0.04656666666666667,0.003341666666666687,0.002066666666666661,0.7607424357740148,0.009495002592146078,0.012070163633323243,0.01713174667980796,0.03672180374574065
Bwd IAT Mean,0.5384019358333333,0.07680387166666658,0.9616438642699395,0.08613333333333328,0.0021999999999999797,0.003291666666666637,0.7603614907651334,0.017597876051609146,0.019066186241355115,0.0870039379630002,0.08116967126687717
Bwd Packets/s,0.44466827652777774,0.11066344694444452,0.9739501487730591,0.11348333333333332,0.00355833333333333,0.0033833333333332938,0.7587183867557381,0.002562288215334179,0.002171462768936186,0.0172678729561951,0.014800224818305579
Bwd IAT Total,0.5325119651388889,0.06502393027777775,0.9528451250826759,0.07843333333333335,0.003149999999999986,0.0022416666666666973,0.7584388362260274,0.08793281586874999,0.10403050772694442,0.24652333254686543,0.2654436269283158
Fwd Packets/s,0.4413043015277778,0.11739139694444445,0.9748132362328371,0.11564999999999998,0.003941666666666621,0.0038916666666666266,0.7575877640252826,0.005617855069546123,0.005103003787531783,0.03738950278547849,0.03722611693622161
fwd_packets_per_second,0.4415143181944444,0.11697136361111116,0.9729426014322343,0.11438333333333334,0.004225000000000034,0.00417500000000004,0.7567205898849512,0.4049515785349364,0.40493649166568785,0.027911482229693807,0.029477549588048744
Flow Packets/s,0.44283484055555555,0.1143303188888889,0.9701392073275364,0.11558333333333337,0.0035000000000000586,0.005016666666666669,0.7559973176412562,0.33687908474617395,0.3366690309735876,0.02060375959733502,0.021078542325291567
Init Fwd Win Bytes,0.4933624525,0.013275095000000015,0.9245,0.07116666666666671,0.003649999999999931,0.00216666666666665,0.75588622625,0.1562429489135742,0.09881115290323893,0.2912395342130002,0.20393664210421242
Fwd Packets Length Total,0.49297804097222225,0.014043918055555493,0.9228326571464038,0.05201666666666671,0.004041666666666721,0.001683333333333259,0.7548553152499665,0.00021530366361840038,0.0002479382740601954,0.0028218823525879466,0.0027416798938781598
Subflow Fwd Bytes,0.49049611958333333,0.01900776083333333,0.9232685441703511,0.053716666666666635,0.003066666666666662,0.002650000000000041,0.7536590924186931,0.0002193956442704572,0.00024044073674771733,0.0028723185056536383,0.00276779776769482
Fwd Packet Length Max,0.48641467333333344,0.027170653333333128,0.9184515060529989,0.0615,0.0030916666666667147,0.0054333333333333456,0.7494423316624829,0.008839099516518935,0.010369713940370668,0.019654532913970922,0.03352899659149961
Fwd Seg Size Min,0.46639281402777777,0.06721437194444446,0.9333108680281388,0.0683833333333333,0.0008416666666666295,0.0014333333333333975,0.7468040510960319,0.191023309178744,0.1847567632850242,0.0471625797214418,0.046020647356794786
Packet Length Min,0.46584213277777775,0.0683157344444445,0.9329971192312511,0.06295000000000006,0.0030333333333333323,0.00326666666666664,0.7467228152994103,0.014517150092081033,0.012748146869244937,0.017273010191408273,0.01748044290447893
Fwd Packet Length Min,0.46309799111111116,0.07380401777777768,0.9277593567340996,0.06919999999999998,0.0013083333333333558,0.0022083333333332567,0.7422583084259771,0.009357999999999998,0.009119125448028674,0.016647818247989225,0.028981502883092973
Bwd Packet Length Min,0.4600974891666667,0.07980502166666659,0.9251013952450641,0.07909999999999995,0.002191666666666703,0.002391666666666681,0.739332845301452,0.018970804558011048,0.01607343462246777,0.02648052371354053,0.0247036844770331
Fwd IAT Max,0.5495851518055556,0.09917030361111112,0.9051064078260305,0.08956666666666668,0.00417500000000004,0.0029000000000000137,0.7238509484015391,0.04080492864555555,0.10321806607097223,0.12640588280764317,0.23697591359462875
Fwd IAT Total,0.5458861840277778,0.09177236805555555,0.8958575277908072,0.08681666666666665,0.0029916666666666702,0.0022916666666666363,0.7203768816043884,0.09744401341222222,0.15710452471736114,0.2538640540691493,0.3102544973420778
Flow Duration,0.5474777797222222,0.09495555944444445,0.8928084880805637,0.10870000000000002,0.0032250000000000056,0.005549999999999999,0.7184157785831988,0.0987919483239325,0.16176592086284614,0.2531529080448559,0.31210272712345094
Flow IAT Max,0.554603865,0.10920773000000006,0.8992488377987465,0.11409999999999998,0.0055333333333333345,0.003916666666666679,0.7183915949559773,0.04225484523086398,0.10621687687706056,0.12578595525168212,0.23802921862854046
Fwd IAT Std,0.5591948972222222,0.11838979444444431,0.9041709761218942,0.10466666666666669,0.0014500000000000624,0.0025416666666666643,0.7182049215892641,0.014402558048055913,0.05506387562880424,0.050131872508521545,0.13504985207637288
Fwd IAT Mean,0.5498713588888888,0.09974271777777766,0.8938883605225018,0.09476666666666667,0.004375000000000018,0.004766666666666641,0.7176562521762649,0.020648656730995887,0.027995926410369562,0.09225325087316144,0.08446047339161807
Idle Max,0.5532294120833333,0.10645882416666663,0.8972577778480172,0.09860000000000002,0.003574999999999995,0.002258333333333362,0.7175920717747428,0.03488512689555555,0.10129638019916666,0.12025144759681537,0.23761186414709312
Bwd Packet Length Max,0.5342457298611111,0.06849145972222215,0.877691638754957,0.13503333333333334,0.004216666666666646,0.0024250000000000105,0.7164508697180042,0.02376124338624339,0.0626015941286909,0.04182140410784488,0.11785000123261269
Avg Bwd Segment Size,0.5374153063888889,0.0748306127777778,0.8799514962582353,0.12990000000000002,0.002358333333333351,0.002074999999999938,0.7157373364142516,0.03242981894006813,0.0717318172554581,0.05040452922847825,0.12063297858759311
Bwd Packet Length Mean,0.5361928019444444,0.07238560388888882,0.8746828579485908,0.13218333333333343,0.0020916666666666583,0.005333333333333301,0.7140458375661695,0.03212776403657593,0.07250066259476472,0.04998772718098428,0.12231910828997408
Flow IAT Std,0.5592730831944444,0.11854616638888871,0.8957220588683308,0.12040000000000006,0.0025083333333333346,0.0033166666666666345,0.7136739241136931,0.021065304436070274,0.046323295616778136,0.07627247396332605,0.10668462153211519
Packet Length Mean,0.5409398133333334,0.08187962666666682,0.8784787887457466,0.13693333333333335,0.0025083333333333346,0.0035166666666667235,0.7133967604768273,0.034472800983710104,0.06810513308567157,0.0500609039707603,0.10392795217041728
Bwd Packets Length Total,0.53180769875,0.0636153975,0.8690509110825646,0.12351666666666672,0.002066666666666661,0.0027333333333333654,0.7126208183870772,6.776713135849464e-05,1.3268318962026412e-05,0.007219522778860275,0.0004916064070065719
Subflow Bwd Bytes,0.5307293087499999,0.06145861749999981,0.8673939145130792,0.12598333333333334,0.0031916666666665927,0.004341666666666633,0.7125703319405271,3.614000830845195e-05,7.835612601663715e-05,0.004646812317146296,0.007521716219742928
Flow IAT Mean,0.5552065297222222,0.11041305944444435,0.8885385340308753,0.11036666666666661,0.0033249999999999114,0.003574999999999995,0.7118079288558704,0.009974202828147549,0.013914474443067171,0.0446879366898885,0.039702084783571887
Avg Packet Size,0.5434885179166666,0.08697703583333327,0.8773902717166597,0.13836666666666664,0.0044999999999999485,0.003649999999999931,0.7117203904858296,0.03322880786528529,0.06527701820085209,0.043746181561662024,0.0972874844855282
Packet Length Variance,0.5424342725,0.08486854499999996,0.8725817509459847,0.14423333333333332,0.0034250000000000114,0.0028416666666666313,0.7093878267702917,0.0037812598455841955,0.03278591634223545,0.009683062691083795,0.09008477337157718
