feature,separability_score,class_overlap_score,variance,missing_ratio
Flow IAT Std,0.124546208242313,0.8935813061514113,76896658053257.58,0.0
Fwd Packets/s,0.11824197040857676,0.9818241539841776,12906916866.76101,0.0
Fwd IAT Std,0.11781261662361131,0.9017428107850094,110842418983873.4,0.0
Flow IAT Mean,0.1138477049313793,0.8906674768505021,23686860182654.785,0.0
Flow Packets/s,0.11376093128266673,0.9703822943009973,15424921006.410688,0.0
Flow IAT Max,0.11015369656126417,0.8465129696761333,708969099613095.4,0.0
Idle Mean,0.10924671467757574,0.8971074650278636,664472858382042.1,0.0
Bwd Packets/s,0.10879556230539533,0.9747150346221297,907933691.6606541,0.0
Idle Min,0.1087721097246912,0.8965684324485858,650853975963486.0,0.0
Idle Max,0.10788070661778182,0.8918051520315868,706091438597967.4,0.0
Fwd IAT Max,0.10220690581595004,0.9000709186117495,713828811417832.5,0.0
Fwd IAT Mean,0.10001085133652876,0.8997643746187419,108376617565821.78,0.0
Flow Duration,0.0978225521117011,0.8962867215246839,1325911616455651.0,0.0
Bwd Packet Length Std,0.09561172581627941,0.8774572110211644,832393.4753297062,0.0
Fwd IAT Total,0.09315812604825346,0.8958674458038501,1321977714316605.8,0.0
Avg Packet Size,0.08708690919722906,0.8693669755662597,124407.35724353137,0.0
Packet Length Max,0.08581070785405776,0.8693767544464256,4796399.150329764,0.0
Packet Length Mean,0.08578376039511948,0.8699254898959022,106300.99069229275,0.0
Packet Length Variance,0.08492534188404788,0.8673168382156267,3252699899165.6978,0.0
Packet Length Std,0.0849253385846831,0.8670831604988687,465215.4444188625,0.0
Bwd Packet Length Min,0.08121170944531209,0.9408673106910727,5384.907053275528,0.0
Active Max,0.08090551395037981,0.991094190351993,1257945287296.5764,0.0
Active Mean,0.08064249898919562,0.9887283121852256,497020565175.0296,0.0
Active Min,0.08032442629994652,0.9891923902517734,391700129485.3911,0.0
Bwd IAT Max,0.07267156162171129,0.9683973927791769,353637890847914.9,0.0
Bwd Packet Length Mean,0.07210554038264405,0.8794967354960047,424093.5532157463,0.0
Avg Bwd Segment Size,0.07210554038264405,0.8794967354960047,424093.5532157463,0.0
Bwd IAT Std,0.07207349805749597,0.9712879564115676,47479968456138.26,0.0
Fwd Packet Length Min,0.07115715667515443,0.9304879017716428,4051.395326032966,0.0
Flow Bytes/s,0.07076891141583075,0.9848263452465175,67141341559610.8,0.0
Bwd IAT Mean,0.07016459377910134,0.9658038884069522,95614423206298.62,0.0
Packet Length Min,0.06972520054105591,0.9361154896189183,701.3215267487051,0.0
Bwd IAT Total,0.06689284535164464,0.9622358447493482,982668561458458.0,0.0
Bwd Packet Length Max,0.06623583768131813,0.8791013739653337,4434169.556451235,0.0
Fwd Seg Size Min,0.0633371188918952,0.9368027481596205,1145932146478.7725,0.0
Subflow Bwd Bytes,0.05952110101244301,0.8678574542033741,7043870078676.7,0.0
Bwd Packets Length Total,0.05952110100285202,0.8678574542033741,7043983893250.811,0.0
Protocol,0.05947241637379397,0.9404116369249899,29.33558074090372,0.0
Total Fwd Packets,0.056906034994559374,0.8800955831605876,765901.5937606515,0.0
Subflow Fwd Packets,0.056906034994559374,0.8800955831605876,765901.5937606515,0.0
ACK Flag Count,0.05557009143955227,0.9444299085604477,0.2048688679893868,0.0
Bwd IAT Min,0.05329968836569221,0.9956235515750892,84129247038485.94,0.0
Fwd Header Length,0.0494806666282559,0.9125317302141596,78354196683257.08,0.0
Flow IAT Min,0.043850346340983615,0.9649457444775769,9888891532910.666,0.0
Fwd Packet Length Mean,0.0419107809171253,0.9602004280160233,40888.297830972166,0.0
Avg Fwd Segment Size,0.0419107809171253,0.9602004280160233,40888.297830972166,0.0
Total Backward Packets,0.04168753925082469,0.9086565313381983,1344506.8310197627,0.0
Subflow Bwd Packets,0.04168753925082469,0.9086565313381983,1344506.8310197627,0.0
Bwd Header Length,0.03807033335352594,0.9076900510951343,2253311175331.4033,0.0
Fwd Packet Length Std,0.033813560782995467,0.9504064547867529,94704.50081727121,0.0
Fwd Packet Length Max,0.026653709356000754,0.9156840803644506,616446.4995308563,0.0
FIN Flag Count,0.02411257783113885,0.9758874221688613,0.0316485336413817,0.0
Init Bwd Win Bytes,0.021935245566863326,0.9664106501386422,77120509.68836372,0.0
PSH Flag Count,0.019266831850848876,0.9807331681491513,0.19779350851969504,0.0
Fwd Packets Length Total,0.018215490658535893,0.9255178888261176,51291053.03385637,0.0
Subflow Fwd Bytes,0.018215490658535893,0.9255178888261176,51291053.03385637,0.0
Fwd Act Data Packets,0.014185601401509373,0.9150955599914378,558825.7289614452,0.0
Fwd IAT Min,0.012315078505788613,0.9894780795634357,89176935655172.88,0.0
Down/Up Ratio,0.011906414939761412,0.9756726902545803,0.4964016668628744,0.0
URG Flag Count,0.011382239238668435,0.9886177607613317,0.08219804967874556,0.0
Init Fwd Win Bytes,0.008286135518972393,0.9250097914498482,219612004.06916985,0.0
Active Std,0.00812983533781686,0.9940326500791434,186954309565.3147,0.0
Idle Std,0.004694764609709967,0.9943478655417283,25918554035532.367,0.0
Fwd PSH Flags,0.0028720106998596506,0.9971279893001403,0.03687971675600041,0.0
SYN Flag Count,0.0028720106998596506,0.9971279893001403,0.03687971675600041,0.0
RST Flag Count,0.0001646324097202001,1.0,0.0002938012008124749,0.0
ECE Flag Count,0.00016228903847403942,1.0,0.00029503529521587645,0.0
Fwd URG Flags,1.1551923972952238e-05,1.0,9.261077173613977e-06,0.0
CWE Flag Count,1.1551923972952238e-05,1.0,9.261077173613977e-06,0.0
