feature,missing_ratio,variance
Bwd PSH Flags,0.0,0.0
Bwd URG Flags,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0
Fwd URG Flags,0.0,9.261082891507157e-06
CWE Flag Count,0.0,9.261082891507157e-06
RST Flag Count,0.0,0.0002938013822086398
ECE Flag Count,0.0,0.00029503547737398515
FIN Flag Count,0.0,0.03164855318154223
Fwd PSH Flags,0.0,0.03687973952595221
SYN Flag Count,0.0,0.03687973952595221
URG Flag Count,0.0,0.08219810042874566
PSH Flag Count,0.0,0.1977936306396312
ACK Flag Count,0.0,0.20486899447772947
Down/Up Ratio,0.0,0.49640197334684505
Protocol,0.0,29.33559885302112
Packet Length Min,0.0,701.3219597525014
Fwd Packet Length Min,0.0,4051.397827409994
Bwd Packet Length Min,0.0,5384.910377977691
Fwd Packet Length Mean,0.0,40888.32421875
Avg Fwd Segment Size,0.0,40888.32421875
Fwd Packet Length Std,0.0,94704.5625
Packet Length Mean,0.0,106301.0546875
Avg Packet Size,0.0,124407.4375
Bwd Packet Length Mean,0.0,424093.8125
Avg Bwd Segment Size,0.0,424093.8125
Packet Length Std,0.0,465215.71875
Fwd Act Data Packets,0.0,558826.0739867337
Fwd Packet Length Max,0.0,616446.8801318564
Total Fwd Packets,0.0,765902.0666369074
Subflow Fwd Packets,0.0,765902.0666369074
Bwd Packet Length Std,0.0,832394.0
Total Backward Packets,0.0,1344507.6611333978
Subflow Bwd Packets,0.0,1344507.6611333978
Bwd Packet Length Max,0.0,4434172.294157377
Packet Length Max,0.0,4796402.111680531
Fwd Packets Length Total,0.0,51291084.701529235
Subflow Fwd Bytes,0.0,51291084.701529235
Init Bwd Win Bytes,0.0,77120557.30343354
Init Fwd Win Bytes,0.0,219612139.66009048
Bwd Packets/s,0.0,907934272.0
Fwd Packets/s,0.0,12906925056.0
Flow Packets/s,0.0,15424930529.930355
Active Std,0.0,186954432512.0
Active Min,0.0,391700371325.4554
Active Mean,0.0,497020862464.0
Fwd Seg Size Min,0.0,1145932853990.1646
Active Max,0.0,1257946063966.141
Bwd Header Length,0.0,2253312566551.059
Packet Length Variance,0.0,3252701888512.0
Subflow Bwd Bytes,0.0,7043874427641.288
Bwd Packets Length Total,0.0,7043988242285.669
Flow IAT Min,0.0,9888897638423.49
Flow IAT Mean,0.0,23686874660864.0
Idle Std,0.0,25918569447424.0
Bwd IAT Std,0.0,47479999430656.0
Flow Bytes/s,0.0,67141383013430.016
Flow IAT Std,0.0,76896708591616.0
Fwd Header Length,0.0,78354245060019.14
Bwd IAT Min,0.0,84129298980829.02
Fwd IAT Min,0.0,89176990714015.66
Bwd IAT Mean,0.0,95614478057472.0
Fwd IAT Mean,0.0,108376688164864.0
Fwd IAT Std,0.0,110842485932032.0
Bwd IAT Max,0.0,353638109187925.0
Idle Min,0.0,650854377808049.0
Idle Mean,0.0,664473249513472.0
Idle Max,0.0,706091874546761.0
Flow IAT Max,0.0,708969537338589.1
Fwd IAT Max,0.0,713829252143767.0
Bwd IAT Total,0.0,982669168169077.0
Fwd IAT Total,0.0,1321978530520511.0
Flow Duration,0.0,1325912435088391.8
