feature,separability_score,class_overlap_score,variance,missing_ratio,stability_score,ks_train_val,ks_train_test,recommendation,impute_hint,scale_hint,log_hint,encode_hint
Flow IAT Std,0.124546208242313,0.8935813061514113,76896658053257.58,0.0,0.9982237089475801,0.0017762910524199427,0.0012894625870626397,drop,none,robust_scale,review_log_transform,numeric
Fwd Packets/s,0.11824197040857676,0.9818241539841776,12906916866.76101,0.0,0.9986481789157895,0.0013089110292423545,0.0013518210842105027,drop,none,robust_scale,review_log_transform,numeric
Fwd IAT Std,0.11781261662361131,0.9017428107850094,110842418983873.4,0.0,0.9985669893873247,0.0014330106126753117,0.0008606707428131521,drop,none,robust_scale,review_log_transform,numeric
Flow IAT Mean,0.1138477049313793,0.8906674768505021,23686860182654.785,0.0,0.9984749951687599,0.0015250048312400177,0.0013203331302051868,drop,none,robust_scale,review_log_transform,numeric
Flow Packets/s,0.11376093128266673,0.9703822943009973,15424921006.410688,0.0,0.9986620706602036,0.0013379293397963732,0.0013243463008136835,drop,none,robust_scale,review_log_transform,numeric
Idle Mean,0.10924671467757574,0.8971074650278636,664472858382042.1,0.0,0.9985676067981875,0.001432393201812543,0.0006877957012151326,drop,none,robust_scale,review_log_transform,numeric
Bwd Packets/s,0.10879556230539533,0.9747150346221297,907933691.6606541,0.0,0.9980891133794786,0.0019108866205214126,0.0012156819889520554,drop,none,robust_scale,review_log_transform,numeric
Idle Min,0.1087721097246912,0.8965684324485858,650853975963486.0,0.0,0.9985564934026562,0.0014435065973438244,0.0005655483503708147,drop,none,robust_scale,review_log_transform,numeric
Idle Max,0.10788070661778182,0.8918051520315868,706091438597967.4,0.0,0.9985280925029651,0.0014719074970348522,0.0007128008411605435,drop,none,robust_scale,review_log_transform,numeric
Fwd IAT Max,0.10220690581595004,0.9000709186117495,713828811417832.5,0.0,0.9984188107802406,0.0015811892197593602,0.000904815619506949,drop,none,robust_scale,review_log_transform,numeric
Fwd IAT Mean,0.10001085133652876,0.8997643746187419,108376617565821.78,0.0,0.9985182139291595,0.001481786070840485,0.001348116619033446,drop,none,robust_scale,review_log_transform,numeric
Flow Duration,0.0978225521117011,0.8962867215246839,1325911616455651.0,0.0,0.9983792964850182,0.0016207035149817806,0.0009156203096069016,drop,none,robust_scale,review_log_transform,numeric
Bwd Packet Length Std,0.09561172581627941,0.8774572110211644,832393.4753297062,0.0,0.9979872405871084,0.002012759412891585,0.0014706726753092036,drop,none,robust_scale,review_log_transform,numeric
Fwd IAT Total,0.09315812604825346,0.8958674458038501,1321977714316605.8,0.0,0.9986102081477242,0.0013897918522758346,0.0009597651863006984,drop,none,robust_scale,review_log_transform,numeric
Avg Packet Size,0.08708690919722906,0.8693669755662597,124407.35724353137,0.0,0.9979045075314864,0.0020954924685135934,0.0015453793897140522,drop,none,robust_scale,review_log_transform,numeric
Packet Length Max,0.08581070785405776,0.8693767544464256,4796399.150329764,0.0,0.9979582222765544,0.0020417777234456036,0.0011517799646470483,drop,none,robust_scale,review_log_transform,numeric
Packet Length Mean,0.08578376039511948,0.8699254898959022,106300.99069229275,0.0,0.9979168557487434,0.0020831442512565523,0.001178019926318219,drop,none,robust_scale,review_log_transform,numeric
Packet Length Variance,0.08492534188404788,0.8673168382156267,3252699899165.6978,0.0,0.9980329289909593,0.0019670710090406995,0.001117204956327389,drop,none,robust_scale,review_log_transform,numeric
Packet Length Std,0.0849253385846831,0.8670831604988687,465215.4444188625,0.0,0.9980329289909593,0.0019670710090406995,0.001117204956327389,drop,none,robust_scale,review_log_transform,numeric
Bwd Packet Length Min,0.08121170944531209,0.9408673106910727,5384.907053275528,0.0,0.9980137892542108,0.0019862107457891964,0.0005640048232136152,drop,none,robust_scale,review_log_transform,numeric
Active Max,0.08090551395037981,0.991094190351993,1257945287296.5764,0.0,0.9983620089808584,0.001637991019141638,0.0010758384285164402,drop,none,robust_scale,review_log_transform,numeric
Active Mean,0.08064249898919562,0.9887283121852256,497020565175.0296,0.0,0.9983601567482698,0.0016398432517301664,0.0011190571889160283,drop,none,robust_scale,review_log_transform,numeric
