cluster_id,size,features
1,9,"Avg Bwd Segment Size, Avg Packet Size, Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std, Packet Length Max, Packet Length Mean, Packet Length Std, Packet Length Variance"
2,7,"Flow IAT Max, Flow IAT Std, Fwd IAT Max, Fwd IAT Std, Idle Max, Idle Mean, Idle Min"
3,6,"Bwd Packets Length Total, Subflow Bwd Bytes, Subflow Bwd Packets, Subflow Fwd Packets, Total Backward Packets, Total Fwd Packets"
4,2,"Flow Duration, Fwd IAT Total"
5,2,"Fwd Packets Length Total, Subflow Fwd Bytes"
6,2,"Fwd Packet Length Max, Fwd Packet Length Std"
7,2,"Avg Fwd Segment Size, Fwd Packet Length Mean"
8,2,"Flow Packets/s, Fwd Packets/s"
9,2,"Flow IAT Mean, Fwd IAT Mean"
10,2,"Bwd IAT Mean, Bwd IAT Min"
11,2,"Fwd PSH Flags, SYN Flag Count"
12,2,"CWE Flag Count, Fwd URG Flags"
13,2,"ECE Flag Count, RST Flag Count"
14,2,"Active Mean, Active Min"
