feature,ks_train_val,ks_train_test,stability_score
Bwd URG Flags,0.0,0.0,1.0
Bwd PSH Flags,0.0,0.0,1.0
Bwd Avg Bulk Rate,0.0,0.0,1.0
Bwd Avg Packets/Bulk,0.0,0.0,1.0
Bwd Avg Bytes/Bulk,0.0,0.0,1.0
Fwd Avg Bulk Rate,0.0,0.0,1.0
Fwd Avg Packets/Bulk,0.0,0.0,1.0
Fwd Avg Bytes/Bulk,0.0,0.0,1.0
Fwd URG Flags,3.7044651770568038e-06,1.5435271570884979e-06,0.9999962955348229
CWE Flag Count,3.7044651770568038e-06,1.5435271570884979e-06,0.9999962955348229
ECE Flag Count,2.0374558474034465e-05,3.0870543141769957e-06,0.999979625441526
RST Flag Count,2.160938019979408e-05,2.160938019968306e-06,0.9999783906198002
Fwd PSH Flags,0.00014447414190688068,0.00011483842049020421,0.9998555258580931
SYN Flag Count,0.00014447414190688068,0.00011483842049020421,0.9998555258580931
FIN Flag Count,0.00015805718088968135,0.00016176164606673815,0.9998382383539333
URG Flag Count,4.507099298800554e-05,0.00041675233242388643,0.9995832476675761
Down/Up Ratio,0.0004105782237953659,0.00043218760399516,0.9995678123960048
PSH Flag Count,0.000873636370932962,0.0008520269907332789,0.999126363629067
Protocol,0.0009020372706241009,3.550112461392363e-05,0.9990979627293759
Fwd Seg Size Min,0.0008582010993617439,0.0010122451096429286,0.9989877548903571
Fwd IAT Min,0.0009458734418865133,0.0010187279237028335,0.9989812720762972
Flow Bytes/s,0.0010236672106055389,0.0009906357294431345,0.9989763327893945
ACK Flag Count,0.0002519036320429713,0.0010316935518226433,0.9989683064481774
Fwd Act Data Packets,0.0009915618457374542,0.0012125949346378784,0.9987874050653621
Bwd IAT Min,0.0009699524655376601,0.0012462438266631626,0.9987537561733368
Avg Bwd Segment Size,0.001145297150587199,0.0013252724171080033,0.998674727582892
Bwd Packet Length Mean,0.001145297150587199,0.0013252724171080033,0.998674727582892
Flow Packets/s,0.0013379293397963732,0.0013243463008136835,0.9986620706602036
Fwd Packets/s,0.0013089110292423545,0.0013518210842105027,0.9986481789157895
Fwd Packet Length Min,0.0013657128286246323,0.0008785756578357784,0.9986342871713754
Fwd IAT Total,0.0013897918522758346,0.0009597651863006984,0.9986102081477242
Active Std,0.0014262190931839669,0.0008041776488624253,0.998573780906816
Idle Mean,0.001432393201812543,0.0006877957012151326,0.9985676067981875
Fwd IAT Std,0.0014330106126753117,0.0008606707428131521,0.9985669893873247
Idle Min,0.0014435065973438244,0.0005655483503708147,0.9985564934026562
Idle Max,0.0014719074970348522,0.0007128008411605435,0.9985280925029651
Fwd IAT Mean,0.001481786070840485,0.001348116619033446,0.9985182139291595
Init Fwd Win Bytes,0.00148857759033183,0.0013089110292423545,0.9985114224096682
Bwd IAT Max,0.0015213003660629054,0.0011131917857190032,0.9984786996339371
Flow IAT Mean,0.0015250048312400177,0.0013203331302051868,0.9984749951687599
Active Min,0.001525622242102842,0.0008152910443935957,0.9984743777578972
Flow IAT Min,0.0015472316223026084,0.0005778965676278558,0.9984527683776974
Idle Std,0.0015774847545823034,0.000536838745248347,0.9984225152454177
Fwd IAT Max,0.0015811892197593602,0.000904815619506949,0.9984188107802406
Bwd IAT Mean,0.001597241902193458,0.0010560812809052855,0.9984027580978065
Bwd IAT Total,0.0015984767239191067,0.0010813951262821364,0.9984015232760809
Flow Duration,0.0016207035149817806,0.0009156203096069016,0.9983792964850182
Total Backward Packets,0.0016250253910217172,0.0008730189600701377,0.9983749746089783
Subflow Bwd Packets,0.0016250253910217172,0.0008730189600701377,0.9983749746089783
Active Max,0.001637991019141638,0.0010758384285164402,0.9983620089808584
Active Mean,0.0016398432517301664,0.0011190571889160283,0.9983601567482698
Bwd IAT Std,0.0015589624286966863,0.0016562046395957042,0.9983437953604043
Bwd Packets Length Total,0.0016608352210670807,0.000805103765156634,0.9983391647789329
Subflow Bwd Bytes,0.0016608352210670807,0.000805103765156634,0.9983391647789329
Bwd Packet Length Max,0.001716402198723599,0.0009730395198519481,0.9982835978012764
Flow IAT Std,0.0017762910524199427,0.0012894625870626397,0.9982237089475801
Flow IAT Max,0.0018022223086597844,0.000910989728135525,0.9981977776913402
Packet Length Min,0.001803457130385433,0.000920559596509607,0.9981965428696146
Init Bwd Win Bytes,0.001906564744481365,0.0014015226586699958,0.9980934352555186
Bwd Packets/s,0.0019108866205214126,0.0012156819889520554,0.9980891133794786
Bwd Header Length,0.0019238522486412224,0.0005692528155479826,0.9980761477513588
Packet Length Variance,0.0019670710090406995,0.001117204956327389,0.9980329289909593
Packet Length Std,0.0019670710090406995,0.001117204956327389,0.9980329289909593
Subflow Fwd Packets,0.0019862107457890854,0.0005547436602708622,0.9980137892542109
Total Fwd Packets,0.0019862107457890854,0.0005547436602708622,0.9980137892542109
Bwd Packet Length Min,0.0019862107457891964,0.0005640048232136152,0.9980137892542108
Bwd Packet Length Std,0.002012759412891585,0.0014706726753092036,0.9979872405871084
Packet Length Max,0.0020417777234456036,0.0011517799646470483,0.9979582222765544
Packet Length Mean,0.0020831442512565523,0.001178019926318219,0.9979168557487434
Avg Packet Size,0.0020954924685135934,0.0015453793897140522,0.9979045075314864
Fwd Header Length,0.0021047536314563464,0.0006362418941671111,0.9978952463685437
Fwd Packet Length Mean,0.002377649232836121,0.0017843173936371581,0.9976223507671639
Avg Fwd Segment Size,0.002377649232836121,0.0017843173936371581,0.9976223507671639
Subflow Fwd Bytes,0.00247087827312642,0.0008742537817958418,0.9975291217268736
Fwd Packets Length Total,0.00247087827312642,0.0008742537817958418,0.9975291217268736
Fwd Packet Length Std,0.0028530555972308136,0.0011851201512409482,0.9971469444027692
Fwd Packet Length Max,0.0028839261403732497,0.0013505862624847986,0.9971160738596268
