,precision,recall,f1-score,support
BENIGN,0.3076083916083916,0.2396748250986204,0.2694253549422415,91766.0
Botnet,0.09963509625505836,0.24196205407861848,0.14114820644519924,35208.0
Bruteforce,0.4706546275395034,0.04280050806358493,0.07846550081734897,77943.0
DDoS,0.9198514262499637,0.7163130183264411,0.8054221612419645,44253.0
DoS,0.9599536014140522,0.29708200140173335,0.4537420205474981,116998.0
Infiltration,0.123041650745128,0.28690458989548717,0.17222362762458893,41526.0
Portscan,0.053405193532582065,0.004559906291834003,0.008402389670456735,23904.0
WebAttacks,0.08898577435667103,0.36872673597740985,0.14337136690019153,31164.0
accuracy,0.2675673456333925,0.2675673456333925,0.2675673456333925,0.2675673456333925
macro avg,0.37789197021266874,0.27475295489171614,0.25902507852368617,462762.0
weighted avg,0.49830840129218157,0.2675673456333925,0.29466412516004903,462762.0
