,precision,recall,f1-score,support
BENIGN,0.007552669935073539,0.013907657657657658,0.009789221287923325,53280.0
Botnet,0.09926967500153591,0.9845011424219345,0.18035382919648962,26260.0
Bruteforce,0.0,0.0,0.0,65706.0
DDoS,0.0,0.0,0.0,41674.0
DoS,0.0,0.0,0.0,97084.0
Infiltration,0.0,0.0,0.0,32120.0
Portscan,0.0,0.0,0.0,18248.0
WebAttacks,0.0,0.0,0.0,24171.0
accuracy,0.07417241446632622,0.07417241446632622,0.07417241446632622,0.07417241446632622
macro avg,0.013352793117076182,0.12480110000994903,0.023767881310551617,358543.0
weighted avg,0.008392934514635766,0.07417241446632622,0.014663962941461339,358543.0
