feature,outlier_rate_iqr3
Bwd Packets/s,0.22898287117043195
Flow Bytes/s,0.21024383407206543
Bwd IAT Max,0.20826071038059057
Bwd IAT Total,0.20437163935549715
Bwd IAT Mean,0.20346898467401014
Flow IAT Min,0.1948104147333989
Flow Duration,0.1910522348112297
Fwd IAT Total,0.1890129267312355
Bwd IAT Std,0.18627470955449485
Fwd IAT Min,0.17176061499061226
Fwd IAT Mean,0.16776226224279436
Bwd Packets Length Total,0.1472950921393101
Subflow Bwd Bytes,0.1472950921393101
Packet Length Variance,0.14054617399749456
Flow Packets/s,0.13923973261170353
Packet Length Mean,0.13484870655511288
Flow IAT Mean,0.1335317691846534
Avg Packet Size,0.13301129182727067
Avg Bwd Segment Size,0.1305311523912014
Bwd Packet Length Mean,0.1305311523912014
Flow IAT Max,0.12305121978777118
Fwd IAT Max,0.12273634024771758
Flow IAT Std,0.11664002538793468
Init Bwd Win Bytes,0.1046739854550349
Fwd IAT Std,0.10438812422553524
Bwd Packet Length Std,0.10116523952145719
Bwd IAT Min,0.0983146535676778
Packet Length Std,0.08367831165295088
Packet Length Max,0.08255338906083781
Subflow Fwd Bytes,0.0825249881611467
Fwd Packets Length Total,0.0825249881611467
Bwd Packet Length Max,0.07590016960276402
Bwd Header Length,0.07089173268332317
Fwd Packets/s,0.07085530544241501
Subflow Fwd Packets,0.06265547177290147
Total Fwd Packets,0.06265547177290147
Subflow Bwd Packets,0.05961534068422707
Total Backward Packets,0.05961534068422707
Fwd Header Length,0.05328811416173818
Fwd Act Data Packets,0.04974479321984087
Init Fwd Win Bytes,0.04485675141865581
Fwd Packet Length Max,0.042444527177500066
Fwd Packet Length Std,0.04002674623857867
Fwd Packet Length Mean,0.039243869264484615
Avg Fwd Segment Size,0.039243869264484615
Down/Up Ratio,0.007726279537707442
Fwd Packet Length Min,0.004244082271232297
Packet Length Min,0.002228235804026383
Bwd Packet Length Min,0.001479933838251937
Fwd Seg Size Min,1.9757147611206503e-05
Active Mean,0.0
Active Std,0.0
Active Max,0.0
Active Min,0.0
Idle Mean,0.0
Idle Std,0.0
Idle Max,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Protocol,0.0
Bwd Avg Bytes/Bulk,0.0
RST Flag Count,0.0
Fwd PSH Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
FIN Flag Count,0.0
SYN Flag Count,0.0
PSH Flag Count,0.0
Fwd Avg Bulk Rate,0.0
ACK Flag Count,0.0
URG Flag Count,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Idle Min,0.0
