,precision,recall,f1-score,support
BENIGN,0.23154314013029786,0.419833269765161,0.29847416067215954,91765.0
Botnet,0.08196721311475409,0.0008520790729379687,0.0016866250632484399,35208.0
Bruteforce,0.19432291666666668,0.09573908469226723,0.12827807909507397,77941.0
DDoS,0.27780368746696515,0.20191177799873453,0.23385460969704902,44252.0
DoS,0.3084990749819211,0.594334945896511,0.40616941054150274,116998.0
Infiltration,0.05,4.8162596927226314e-05,9.623249771447818e-05,41526.0
Portscan,0.0,0.0,0.0,23904.0
WebAttacks,0.0,0.0,0.0,31164.0
accuracy,0.26901966038404523,0.26901966038404523,0.26901966038404523,0.26901966038404523
macro avg,0.1430170040450756,0.1640899150028174,0.13356988969584355,462758.0
weighted avg,0.19392992426676722,0.26901966038404523,0.2059835266934453,462758.0
