,precision,recall,f1-score,support
BENIGN,0.27016858845301284,0.1447719718847055,0.1885226127800877,91765.0
Botnet,0.09203395030166683,0.05112474437627812,0.06573421465872988,35208.0
Bruteforce,0.222710375126732,0.050730680899654865,0.08263754637128376,77941.0
DDoS,0.24825647147524504,0.3571589984633463,0.2929130064123948,44252.0
DoS,0.3459189372601539,0.49231610796765757,0.40633344032506674,116998.0
Infiltration,0.10968958948115498,0.14142946587680008,0.1235536668489923,41526.0
Portscan,0.06976427306172503,0.0214190093708166,0.03277534167653554,23904.0
WebAttacks,0.08223904242210878,0.2248748556026184,0.12043409893537493,31164.0
accuracy,0.22870917412556888,0.22870917412556888,0.22870917412556888,0.22870917412556888
macro avg,0.18009765344772494,0.18547822930523467,0.1641129910010582,462758.0
weighted avg,0.22827007416566533,0.22870917412556888,0.20793707856014626,462758.0
