,precision,recall,f1-score,support
BENIGN,0.2777630404900282,0.12551626437094754,0.17290140506785157,91765.0
Botnet,0.09429170106038479,0.04217791411042945,0.05828443589693271,35208.0
Bruteforce,0.2273982923154194,0.04647104861369498,0.0771713771319605,77941.0
DDoS,0.2509936436577995,0.3810223266745006,0.30263216936345116,44252.0
DoS,0.3228177969339875,0.54157336022838,0.40451482544313533,116998.0
Infiltration,0.10897710250374491,0.19621441988152002,0.1401276076151822,41526.0
Portscan,0.06448581401593126,0.06028279785809906,0.06231351351351351,23904.0
WebAttacks,0.07981543970800908,0.07438069567449622,0.07700229213035245,31164.0
accuracy,0.23501700672921916,0.23501700672921916,0.23501700672921916,0.23501700672921916
macro avg,0.17831785383566306,0.18345485342650847,0.16186845327029742,462758.0
weighted avg,0.22465873235590286,0.23501700672921916,0.20390976527434537,462758.0
