,precision,recall,f1-score,support
BENIGN,0.2759892653615456,0.2812915458884554,0.27861518119754985,91766.0
Botnet,0.09686936567775774,0.25178936605316976,0.13991146042944058,35208.0
Bruteforce,0.3297741902523756,0.08281693032087552,0.13238717351846344,77943.0
DDoS,0.9563265306122449,0.6882923191648024,0.800467787078039,44253.0
DoS,0.9607161038520279,0.29033829638113473,0.4459161437685421,116998.0
Infiltration,0.11679993251345212,0.46679188941867744,0.18684724196929897,41526.0
Portscan,0.052873563218390804,0.008659638554216868,0.014881915237787124,23904.0
WebAttacks,0.09904092678757953,0.06693620844564241,0.0798835828897484,31164.0
accuracy,0.2749534317856695,0.2749534317856695,0.2749534317856695,0.2749534317856695
macro avg,0.3610487347844218,0.2671145242783718,0.25986381076110865,462762.0
weighted avg,0.47186980140026274,0.2749534317856695,0.30039351265090336,462762.0
