,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,91766.0
Botnet,0.0,0.0,0.0,35208.0
Bruteforce,0.0,0.0,0.0,77943.0
DDoS,0.0,0.0,0.0,44253.0
DoS,0.7348049515226691,0.24809825808988187,0.3709497063916524,116998.0
Infiltration,0.0,0.0,0.0,41526.0
Portscan,0.05652587222088223,1.0,0.10700329013630565,23904.0
WebAttacks,0.1141732283464567,0.0009305609036067257,0.0018460754981220956,31164.0
accuracy,0.11444327753791365,0.11444327753791365,0.11444327753791365,0.11444327753791365
macro avg,0.11318800651125101,0.15612860237418608,0.05997488400326002,462762.0
weighted avg,0.19638604435110532,0.11444327753791365,0.09943710048070559,462762.0
