group,n_runs,macro_f1_mean,macro_f1_std,normal_recall_mean,normal_recall_std,attack_recall_mean,attack_recall_std,acc_mean,acc_std
baseline_maxf1_nofocus,3,0.6073044400053823,0.0015279893262995007,0.3144047541209889,0.00828529857715868,0.8848190636377032,0.007578835577174094,0.7717055419416461,0.0045151087019288235
runC_hn0_maxf1,3,0.6073044400053823,0.0015279893262995007,0.3144047541209889,0.00828529857715868,0.8848190636377032,0.007578835577174094,0.7717055419416461,0.0045151087019288235
benignfocus_maxf1,3,0.6040366098411206,0.0031799400652375953,0.31368190106720717,0.03354765159248082,0.8810041078610013,0.02342474654867844,0.7685037521087154,0.012253774165094463
run_C_hn_soft_best,1,0.60306716796401,,0.4266068042630168,,0.8003455562863211,,0.7262329231872972,
run_C_hn_soft_confirm,1,0.5984853081112061,,0.46048645467820326,,0.7720514506894953,,0.7102679130957166,
run_C,1,0.5974701685010353,,0.4398143103110084,,0.7832779868246558,,0.7151689205250215,
run_A,1,0.593129401088967,,0.5146241527363076,,0.7317113931147505,,0.6886628547719994,
runC_hn1soft_constrained,3,0.5735946385222433,0.03384717775376906,0.523011427616619,0.15430579953846676,0.7016490743835514,0.13626693834660292,0.6662251149979183,0.07871724903184944
runC_hn0_constrained,3,0.5703273076019962,0.03277284944875217,0.557446839424914,0.1431893165124163,0.6766685714491082,0.12916321141171974,0.65302682588458,0.07516045073648554
run_B,1,0.5679824451857869,,0.5477518906784647,,0.6730854241016075,,0.6482317044182538,
