feature,ks_train_val,ks_train_test,max_ks
dtcpb,0.00903739111202062,0.009289421009994525,0.009289421009994525
sbytes,0.008293352721010672,0.004460194916884708,0.008293352721010672
dmean,0.006886597823044682,0.004120568964454341,0.006886597823044682
rate,0.006819360671840802,0.004579305558074065,0.006819360671840802
stcpb,0.006742830423179358,0.004483596119059352,0.006742830423179358
dbytes,0.006518570668214818,0.003663100165185451,0.006518570668214818
sload,0.006456134860804652,0.004970091233154061,0.006456134860804652
dinpkt,0.00633709637709301,0.004272269282894481,0.00633709637709301
dload,0.006104683722466864,0.00565473119658505,0.006104683722466864
sinpkt,0.005931985286756092,0.005052169657985495,0.005931985286756092
sjit,0.005885361228914254,0.004496395960685962,0.005885361228914254
djit,0.00435957593757097,0.005795241699409148,0.005795241699409148
dpkts,0.004314594756969825,0.00293921844718803,0.004314594756969825
smean,0.004267569418541339,0.0025006392713452508,0.004267569418541339
dttl,0.0010196895682054175,0.004114843798260548,0.004114843798260548
spkts,0.0038282928459964505,0.003218222470502574,0.0038282928459964505
dwin,0.0034950670736590417,0.00338081001675572,0.0034950670736590417
response_body_len,0.0016752261730517137,0.003027968097048195,0.003027968097048195
swin,0.0024325909628996056,0.0028540847485421517,0.0028540847485421517
sttl,0.0013289150938415872,0.0022142366795931956,0.0022142366795931956
