,q01,q25,q50,q75,q99,iqr,outlier_signal
sload,247.66966520000003,9007.820312,69012.17188,1139970.375,910482035.2000042,1130962.554688,805.0503385423887
dbytes,0.0,178.0,354.0,2478.0,548216.0,2300.0,238.35478260869564
rate,0.5506650000000001,25.524568,81.987372,4013.761449,500000.0013,3988.2368810000003,125.3685439340382
sbytes,78.0,508.0,920.0,2438.0,134250.80000000016,1930.0,69.51958549222806
djit,0.0,0.0,62.190727,180.288859,9611.828936800004,180.288859,53.31349363523347
sinpkt,0.001,0.228981,21.465733,76.012778,3459.674950000068,75.78379699999999,45.65189508781234
dloss,0.0,0.0,1.0,5.0,197.0,5.0,39.4
dload,0.0,1906.746094,6947.853516,409795.5313,15270048.0,407888.785206,37.436792953961756
dur,1e-06,0.001715,0.329788,0.956492,28.94637940000004,0.954777,30.317423230764923
dpkts,0.0,2.0,8.0,18.0,438.0,16.0,27.375
spkts,2.0,4.0,10.0,20.0,314.0,16.0,19.5
ct_src_dport_ltm,1.0,1.0,1.0,2.0,18.0,1.0,17.0
smean,44.0,58.0,81.0,130.0,1198.0,72.0,16.02777777777778
dmean,0.0,44.0,70.0,131.0,1276.0,87.0,14.666666666666666
ct_dst_src_ltm,1.0,1.0,2.0,4.0,36.0,3.0,11.666666666666666
ct_dst_ltm,1.0,1.0,2.0,3.0,23.0,2.0,11.0
sloss,0.0,0.0,2.0,5.0,53.0,5.0,10.6
ct_src_ltm,1.0,1.0,2.0,4.0,26.0,3.0,8.333333333333334
sjit,0.0,0.0,1243.093668,4311.981223,30189.348144000185,4311.981223,7.001270780812068
ct_srv_dst,1.0,1.0,3.0,6.0,35.0,5.0,6.8
ct_state_ttl,0.0,0.0,1.0,1.0,6.0,1.0,6.0
dinpkt,0.0,0.007,13.603865,83.242289,488.70610640000285,83.235289,5.871381144600854
ct_srv_src,1.0,1.0,3.0,7.0,36.0,6.0,5.833333333333333
ackdat,0.0,0.0,0.000153,0.059391,0.17258120000000013,0.059391,2.90584768736004
synack,0.0,0.0,0.000601,0.066033,0.1891394000000001,0.066033,2.864316326685144
tcprtt,0.0,0.0,0.000755,0.128366,0.33440179999999997,0.128366,2.605065204181792
dtcpb,0.0,0.0,1238852272.0,2766064142.0,4233551584.2000003,2766064142.0,1.5305326871917493
stcpb,0.0,0.0,1260061353.0,2783169049.0,4235500951.8,2783169049.0,1.5218266936828098
dttl,0.0,29.0,29.0,252.0,252.0,223.0,1.1300448430493273
dwin,0.0,0.0,255.0,255.0,255.0,255.0,1.0
sttl,31.0,31.0,62.0,254.0,254.0,223.0,1.0
swin,0.0,0.0,255.0,255.0,255.0,255.0,1.0
trans_depth,0.0,0.0,0.0,0.0,1.0,0.0,
response_body_len,0.0,0.0,0.0,0.0,9317.60000000002,0.0,
ct_dst_sport_ltm,1.0,1.0,1.0,1.0,16.0,0.0,
is_ftp_login,0.0,0.0,0.0,0.0,1.0,0.0,
ct_ftp_cmd,0.0,0.0,0.0,0.0,1.0,0.0,
ct_flw_http_mthd,0.0,0.0,0.0,0.0,1.0,0.0,
is_sm_ips_ports,0.0,0.0,0.0,0.0,0.0,0.0,
