feature,separability_score,class_overlap_score,variance,missing_ratio
sttl,0.6437980787749844,0.3421119142698276,11553.378163033814,0.0
ct_state_ttl,0.626586130558314,0.3069181411848985,0.9268689855015015,0.0
dload,0.5527503825555403,0.5846394005928617,8769333800332.797,0.0
dmean,0.39590921303334514,0.5767063890003409,87526.01693145442,0.0
ct_dst_ltm,0.3471156581722401,0.645080850922064,17.787225125337454,0.0
ct_srv_dst,0.34678418710550973,0.6119398048718294,41.60203006488606,0.0
ct_srv_src,0.28482959376255457,0.6964437260389313,42.93750228625949,0.0
dbytes,0.2760270465875253,0.8553164421262627,32064037590.242874,0.0
ct_src_ltm,0.26916750124422395,0.7045624968703577,24.783847383123526,0.0
dpkts,0.26654543323012025,0.736628637308663,18614.608431023113,0.0
ackdat,0.22279360928691827,0.5799415214301071,0.0028470258293894876,0.0
dloss,0.21639681657460608,0.798038162882932,4305.100450493257,0.0
dttl,0.2157592692386301,0.3489492192057063,13618.61523853823,0.0
tcprtt,0.19874510945835255,0.5782677776123242,0.011547218295318826,0.0
sloss,0.19413059829899293,0.7182833972616379,6095.331624461922,0.0
synack,0.19305505391676125,0.580448480476274,0.003953464634169499,0.0
spkts,0.19092539547069798,0.8118724451964313,26128.816566125028,0.0
sbytes,0.16708616518027763,0.8512957960650785,42769428366.41251,0.0
ct_dst_src_ltm,0.16399624443344762,0.7307382287291151,39.96176064199256,0.0
ct_dst_sport_ltm,0.15957522371565358,0.8566677631720239,5.0354247985060425,0.0
sjit,0.1440926442691588,0.7011725879348262,1975531211.234121,0.0
dinpkt,0.14180390932256492,0.6877840054981098,1262875.0012826207,0.0
sinpkt,0.13846620677843813,0.9062123204759154,16261414.2572183,0.0
dur,0.11968746558010901,0.855379237925855,26.659643939648035,0.0
rate,0.1167919588569043,0.7764202516129094,13501565442.056952,0.0
djit,0.11382744806629752,0.9064039377367942,20154182.78386755,0.0
sload,0.10909174519849696,0.7746705163298352,4.198938928335936e+16,0.0
trans_depth,0.10111562530903906,0.8986352840794202,0.5966959422385519,0.0
ct_flw_http_mthd,0.10053241167509341,0.8980465500418299,0.32341933938757705,0.0
swin,0.07731279707203964,0.9225348601072076,13197.721112461546,0.0
dwin,0.05704829021747515,0.9428165033036079,13492.023080117957,0.0
stcpb,0.05623445060118426,0.9414161951784857,2.0464952009462052e+18,0.0
ct_src_dport_ltm,0.053729386957447334,0.9426574644814665,12.837751703699496,0.0
smean,0.052299041479461295,0.7820614748716934,59966.85664792846,0.0
dtcpb,0.05120336838661077,0.9443383514588404,2.0323411692067548e+18,0.0
response_body_len,0.011969383947089351,0.9455876234375595,3862798765.3227115,0.0
is_sm_ips_ports,0.007866011165736153,1.0,0.0041260557683737995,0.0
ct_ftp_cmd,0.0012775591029307032,0.9986442887093263,0.015089302427129962,0.0
is_ftp_login,0.0012440001244053978,0.9986612084019725,0.015046192067423336,0.0
