feature,missing_ratio,variance
ackdat,0.0,0.0028470508208381304
synack,0.0,0.003953499338037426
is_sm_ips_ports,0.0,0.004126091987262216
tcprtt,0.0,0.011547319657838976
is_ftp_login,0.0,0.015046324144249772
ct_ftp_cmd,0.0,0.01508943488238301
ct_flw_http_mthd,0.0,0.32342217839160964
trans_depth,0.0,0.5967011800891685
ct_state_ttl,0.0,0.9268771216407704
ct_dst_sport_ltm,0.0,5.035468999917546
ct_src_dport_ltm,0.0,12.837864394637906
ct_dst_ltm,0.0,17.78738126319846
ct_src_ltm,0.0,24.784064937963617
dur,0.0,26.65987796039891
ct_dst_src_ltm,0.0,39.962111429919545
ct_srv_dst,0.0,41.602395251245476
ct_srv_src,0.0,42.93787919551411
dloss,0.0,4305.138241051987
sloss,0.0,6095.385129830816
sttl,0.0,11553.479579625835
swin,0.0,13197.836963243783
dwin,0.0,13492.14151430932
dttl,0.0,13618.73478396694
dpkts,0.0,18614.77183172914
spkts,0.0,26129.045927225503
smean,0.0,59967.38304238639
dmean,0.0,87526.78524269855
dinpkt,0.0,1262886.0869128988
sinpkt,0.0,16261557.001374349
djit,0.0,20154359.699095637
sjit,0.0,1975548552.624669
response_body_len,0.0,3862832673.3174915
rate,0.0,13501683960.012026
dbytes,0.0,32064319051.247
sbytes,0.0,42769803800.29916
dload,0.0,8769410778333.15
sload,0.0,4.198975786999282e+16
dtcpb,0.0,2.0323590092802204e+18
stcpb,0.0,2.0465131652650337e+18
