feature,separability_score,class_overlap_score,variance,missing_ratio,stability_score,ks_train_val,ks_train_test,recommendation,impute_hint,scale_hint,log_hint,encode_hint
dbytes,0.2760270465875253,0.8553164421262627,32064037590.242874,0.0,0.9934814293317852,0.006518570668214818,0.003663100165185451,drop,none,robust_scale,review_log_transform,numeric
sbytes,0.16708616518027763,0.8512957960650785,42769428366.41251,0.0,0.9917066472789893,0.008293352721010672,0.004460194916884708,drop,none,robust_scale,review_log_transform,numeric
ct_dst_sport_ltm,0.15957522371565358,0.8566677631720239,5.0354247985060425,0.0,0.9982610020356495,0.0017389979643505082,0.00141371340851848,drop,none,robust_scale,review_log_transform,numeric
sinpkt,0.13846620677843813,0.9062123204759154,16261414.2572183,0.0,0.9940680147132439,0.005931985286756092,0.005052169657985495,drop,none,robust_scale,review_log_transform,numeric
dur,0.11968746558010901,0.855379237925855,26.659643939648035,0.0,0.9949380644690008,0.0033907556953493567,0.0050619355309992065,drop,none,robust_scale,review_log_transform,numeric
djit,0.11382744806629752,0.9064039377367942,20154182.78386755,0.0,0.9942047583005909,0.00435957593757097,0.005795241699409148,drop,none,robust_scale,review_log_transform,numeric
trans_depth,0.10111562530903906,0.8986352840794202,0.5966959422385519,0.0,0.9957828402623597,0.00033352565406608026,0.0042171597376402525,drop,none,robust_scale,review_log_transform,numeric
ct_flw_http_mthd,0.10053241167509341,0.8980465500418299,0.32341933938757705,0.0,0.9957652842366929,0.00037741571823335374,0.00423471576330714,drop,none,robust_scale,review_log_transform,numeric
swin,0.07731279707203964,0.9225348601072076,13197.721112461546,0.0,0.9971459152514579,0.0024325909628996056,0.0028540847485421517,drop,none,robust_scale,review_log_transform,numeric
dwin,0.05704829021747515,0.9428165033036079,13492.023080117957,0.0,0.9965049329263409,0.0034950670736590417,0.00338081001675572,drop,none,robust_scale,review_log_transform,numeric
stcpb,0.05623445060118426,0.9414161951784857,2.0464952009462052e+18,0.0,0.9932571695768206,0.006742830423179358,0.004483596119059352,drop,none,robust_scale,review_log_transform,numeric
ct_src_dport_ltm,0.053729386957447334,0.9426574644814665,12.837751703699496,0.0,0.9945759631229613,0.00542403687703874,0.0017948151951586722,drop,none,robust_scale,review_log_transform,numeric
smean,0.052299041479461295,0.7820614748716934,59966.85664792846,0.0,0.9957324305814587,0.004267569418541339,0.0025006392713452508,drop,none,robust_scale,review_log_transform,numeric
dtcpb,0.05120336838661077,0.9443383514588404,2.0323411692067548e+18,0.0,0.9907105789900055,0.00903739111202062,0.009289421009994525,drop,none,robust_scale,review_log_transform,numeric
response_body_len,0.011969383947089351,0.9455876234375595,3862798765.3227115,0.0,0.9969720319029518,0.0016752261730517137,0.003027968097048195,drop,none,robust_scale,review_log_transform,numeric
is_sm_ips_ports,0.007866011165736153,1.0,0.0041260557683737995,0.0,0.9993284667809762,0.0002108103830433805,0.000671533219023801,drop,none,robust_scale,review_log_transform,numeric
ct_ftp_cmd,0.0012775591029307032,0.9986442887093263,0.015089302427129962,0.0,0.9996395987943838,0.0003604012056162009,0.00026779263281051513,drop,none,robust_scale,review_log_transform,numeric
is_ftp_login,0.0012440001244053978,0.9986612084019725,0.015046192067423336,0.0,0.9996571548200507,0.00034284517994931374,0.00025023660714362794,drop,none,robust_scale,review_log_transform,numeric
sttl,0.6437980787749844,0.3421119142698276,11553.378163033814,0.0,0.9977857633204068,0.0013289150938415872,0.0022142366795931956,keep,none,robust_scale,none,numeric
ct_state_ttl,0.626586130558314,0.3069181411848985,0.9268689855015015,0.0,0.9970891654753501,0.0022132711661250193,0.002910834524649908,keep,none,robust_scale,none,numeric
dload,0.5527503825555403,0.5846394005928617,8769333800332.797,0.0,0.9938953162775331,0.006104683722466864,0.00565473119658505,keep,none,robust_scale,none,numeric
dmean,0.39590921303334514,0.5767063890003409,87526.01693145442,0.0,0.9931134021769553,0.006886597823044682,0.004120568964454341,keep,none,robust_scale,none,numeric
ackdat,0.22279360928691827,0.5799415214301071,0.0028470258293894876,0.0,0.9931896864794507,0.006810313520549283,0.006049565129695733,keep,none,robust_scale,none,numeric
dttl,0.2157592692386301,0.3489492192057063,13618.61523853823,0.0,0.9958851562017395,0.0010196895682054175,0.004114843798260548,keep,none,robust_scale,none,numeric
ct_dst_ltm,0.3471156581722401,0.645080850922064,17.787225125337454,0.0,0.9961577340677685,0.00384226593223147,0.0029795564757466586,review,none,robust_scale,none,numeric
ct_srv_dst,0.34678418710550973,0.6119398048718294,41.60203006488606,0.0,0.9971226612410726,0.002877338758927317,0.0019956733563361584,review,none,robust_scale,none,numeric
ct_srv_src,0.28482959376255457,0.6964437260389313,42.93750228625949,0.0,0.9956733425544269,0.0043266574455731455,0.0030246388221570886,review,none,robust_scale,none,numeric
ct_src_ltm,0.26916750124422395,0.7045624968703577,24.783847383123526,0.0,0.9942613488952534,0.005738651104746584,0.0027708286045167174,review,none,robust_scale,none,numeric
dpkts,0.26654543323012025,0.736628637308663,18614.608431023113,0.0,0.9956854052430302,0.004314594756969825,0.00293921844718803,review,none,robust_scale,none,numeric
dloss,0.21639681657460608,0.798038162882932,4305.100450493257,0.0,0.9958165252927923,0.004183474707207702,0.003859219941605041,review,none,robust_scale,review_log_transform,numeric
tcprtt,0.19874510945835255,0.5782677776123242,0.011547218295318826,0.0,0.9941761479655283,0.005823852034471666,0.005093804606993713,review,none,robust_scale,none,numeric
sloss,0.19413059829899293,0.7182833972616379,6095.331624461922,0.0,0.996219700189322,0.0033904709155781476,0.0037802998106780117,review,none,robust_scale,none,numeric
synack,0.19305505391676125,0.580448480476274,0.003953464634169499,0.0,0.9943890485659678,0.004436491286150257,0.00561095143403223,review,none,robust_scale,none,numeric
spkts,0.19092539547069798,0.8118724451964313,26128.816566125028,0.0,0.9961717071540035,0.0038282928459964505,0.003218222470502574,review,none,robust_scale,review_log_transform,numeric
ct_dst_src_ltm,0.16399624443344762,0.7307382287291151,39.96176064199256,0.0,0.9937401620016653,0.0062598379983347385,0.0018596323612292132,review,none,robust_scale,none,numeric
sjit,0.1440926442691588,0.7011725879348262,1975531211.234121,0.0,0.9941146387710857,0.005885361228914254,0.004496395960685962,review,none,robust_scale,none,numeric
dinpkt,0.14180390932256492,0.6877840054981098,1262875.0012826207,0.0,0.993662903622907,0.00633709637709301,0.004272269282894481,review,none,robust_scale,none,numeric
rate,0.1167919588569043,0.7764202516129094,13501565442.056952,0.0,0.9931806393281593,0.006819360671840802,0.004579305558074065,review,none,robust_scale,review_log_transform,numeric
sload,0.10909174519849696,0.7746705163298352,4.198938928335936e+16,0.0,0.9935438651391953,0.006456134860804652,0.004970091233154061,review,none,robust_scale,review_log_transform,numeric
