,precision,recall,f1-score,support
Analysis,0.05117912694430507,0.204,0.08182912154031288,2000.0
Backdoor,0.04456569627546006,0.7531500572737686,0.0841519214155441,1746.0
DoS,0.18064516129032257,0.00228310502283105,0.004509219743940736,12264.0
Exploits,0.8581713462922966,0.21417662384332045,0.34279962614134735,33393.0
Fuzzers,0.5375819373634377,0.4059062912450506,0.46255561822397695,18184.0
Generic,0.9934977521525996,0.977875,0.9856244724143579,40000.0
Normal,0.9996608293614666,1.0,0.9998303859166748,56000.0
Reconnaissance,0.4031413612565445,0.05137737107997331,0.09113966858302333,10491.0
Shellcode,0.07024793388429752,0.25507502206531335,0.11015818562988375,1133.0
Worms,0.005539791920010809,0.6307692307692307,0.010983123493169033,130.0
accuracy,0.6405176199519793,0.6405176199519793,0.6405176199519793,0.6405176199519793
macro avg,0.41442309367407415,0.4494612701299488,0.3173581343102231,175341.0
weighted avg,0.8033403001393543,0.6405176199519793,0.6656855592686253,175341.0
