feature,outlier_rate_iqr3
sload,0.1928968320151684
rate,0.1772983032101193
dmean,0.1674405947981496
dbytes,0.16659790556613793
smean,0.11416683491191264
dload,0.11397371862957664
djit,0.10961982426418307
sbytes,0.09528532930715145
dloss,0.08029248338761072
dpkts,0.06396537951738486
ct_src_dport_ltm,0.06392148945321759
spkts,0.061244195539013876
ct_dst_ltm,0.05123726090887545
ct_src_ltm,0.05011367526619324
ct_dst_src_ltm,0.0498503348811896
sloss,0.04729593314665426
dur,0.039992626469219895
ct_srv_dst,0.03352323101096374
sinpkt,0.029081556517235627
ct_srv_src,0.028546097734394888
sjit,0.01912728996409793
dinpkt,0.015045513996541462
ct_state_ttl,0.01292123489084541
ackdat,0.004450452506561565
synack,0.004397784429560836
tcprtt,0.003993995839221917
is_ftp_login,0.0
ct_ftp_cmd,0.0
ct_dst_sport_ltm,0.0
ct_flw_http_mthd,0.0
dwin,0.0
response_body_len,0.0
trans_depth,0.0
dtcpb,0.0
stcpb,0.0
swin,0.0
dttl,0.0
sttl,0.0
is_sm_ips_ports,0.0
