column,dtype,non_null_count,null_count,null_ratio,memory_mb
ackdat,float64,113921,0,0.0,0.8691482543945312
dinpkt,float64,113921,0,0.0,0.8691482543945312
djit,float64,113921,0,0.0,0.8691482543945312
dload,float64,113921,0,0.0,0.8691482543945312
dur,float64,113921,0,0.0,0.8691482543945312
rate,float64,113921,0,0.0,0.8691482543945312
sinpkt,float64,113921,0,0.0,0.8691482543945312
sjit,float64,113921,0,0.0,0.8691482543945312
sload,float64,113921,0,0.0,0.8691482543945312
synack,float64,113921,0,0.0,0.8691482543945312
tcprtt,float64,113921,0,0.0,0.8691482543945312
ct_dst_ltm,int64,113921,0,0.0,0.8691482543945312
ct_dst_sport_ltm,int64,113921,0,0.0,0.8691482543945312
ct_dst_src_ltm,int64,113921,0,0.0,0.8691482543945312
ct_flw_http_mthd,int64,113921,0,0.0,0.8691482543945312
ct_ftp_cmd,int64,113921,0,0.0,0.8691482543945312
ct_src_dport_ltm,int64,113921,0,0.0,0.8691482543945312
ct_src_ltm,int64,113921,0,0.0,0.8691482543945312
ct_srv_dst,int64,113921,0,0.0,0.8691482543945312
ct_srv_src,int64,113921,0,0.0,0.8691482543945312
ct_state_ttl,int64,113921,0,0.0,0.8691482543945312
dbytes,int64,113921,0,0.0,0.8691482543945312
dloss,int64,113921,0,0.0,0.8691482543945312
dmean,int64,113921,0,0.0,0.8691482543945312
dpkts,int64,113921,0,0.0,0.8691482543945312
dtcpb,int64,113921,0,0.0,0.8691482543945312
dttl,int64,113921,0,0.0,0.8691482543945312
dwin,int64,113921,0,0.0,0.8691482543945312
id,int64,113921,0,0.0,0.8691482543945312
is_ftp_login,int64,113921,0,0.0,0.8691482543945312
is_sm_ips_ports,int64,113921,0,0.0,0.8691482543945312
label,int64,113921,0,0.0,0.8691482543945312
response_body_len,int64,113921,0,0.0,0.8691482543945312
sbytes,int64,113921,0,0.0,0.8691482543945312
sloss,int64,113921,0,0.0,0.8691482543945312
smean,int64,113921,0,0.0,0.8691482543945312
spkts,int64,113921,0,0.0,0.8691482543945312
stcpb,int64,113921,0,0.0,0.8691482543945312
sttl,int64,113921,0,0.0,0.8691482543945312
swin,int64,113921,0,0.0,0.8691482543945312
trans_depth,int64,113921,0,0.0,0.8691482543945312
attack_cat,object,113921,0,0.0,6.950604438781738
proto,object,113921,0,0.0,6.528163909912109
service,object,113921,0,0.0,6.421490669250488
state,object,113921,0,0.0,6.518611907958984
