feature,recommendation,separability_score,stability_score,missing_ratio,variance,impute_hint,scale_hint,log_hint,encode_hint
dbytes,drop,0.2760270465875253,0.9934814293317852,0.0,32064037590.242874,none,robust_scale,review_log_transform,numeric
sbytes,drop,0.16708616518027763,0.9917066472789893,0.0,42769428366.41251,none,robust_scale,review_log_transform,numeric
ct_dst_sport_ltm,drop,0.15957522371565358,0.9982610020356495,0.0,5.0354247985060425,none,robust_scale,review_log_transform,numeric
sinpkt,drop,0.13846620677843813,0.9940680147132439,0.0,16261414.2572183,none,robust_scale,review_log_transform,numeric
dur,drop,0.11968746558010901,0.9949380644690008,0.0,26.659643939648035,none,robust_scale,review_log_transform,numeric
djit,drop,0.11382744806629752,0.9942047583005909,0.0,20154182.78386755,none,robust_scale,review_log_transform,numeric
trans_depth,drop,0.10111562530903906,0.9957828402623597,0.0,0.5966959422385519,none,robust_scale,review_log_transform,numeric
ct_flw_http_mthd,drop,0.10053241167509341,0.9957652842366929,0.0,0.32341933938757705,none,robust_scale,review_log_transform,numeric
swin,drop,0.07731279707203964,0.9971459152514579,0.0,13197.721112461546,none,robust_scale,review_log_transform,numeric
dwin,drop,0.05704829021747515,0.9965049329263409,0.0,13492.023080117957,none,robust_scale,review_log_transform,numeric
stcpb,drop,0.05623445060118426,0.9932571695768206,0.0,2.0464952009462052e+18,none,robust_scale,review_log_transform,numeric
ct_src_dport_ltm,drop,0.053729386957447334,0.9945759631229613,0.0,12.837751703699496,none,robust_scale,review_log_transform,numeric
smean,drop,0.052299041479461295,0.9957324305814587,0.0,59966.85664792846,none,robust_scale,review_log_transform,numeric
dtcpb,drop,0.05120336838661077,0.9907105789900055,0.0,2.0323411692067548e+18,none,robust_scale,review_log_transform,numeric
response_body_len,drop,0.011969383947089351,0.9969720319029518,0.0,3862798765.3227115,none,robust_scale,review_log_transform,numeric
is_sm_ips_ports,drop,0.007866011165736153,0.9993284667809762,0.0,0.0041260557683737995,none,robust_scale,review_log_transform,numeric
ct_ftp_cmd,drop,0.0012775591029307032,0.9996395987943838,0.0,0.015089302427129962,none,robust_scale,review_log_transform,numeric
is_ftp_login,drop,0.0012440001244053978,0.9996571548200507,0.0,0.015046192067423336,none,robust_scale,review_log_transform,numeric
sttl,keep,0.6437980787749844,0.9977857633204068,0.0,11553.378163033814,none,robust_scale,none,numeric
ct_state_ttl,keep,0.626586130558314,0.9970891654753501,0.0,0.9268689855015015,none,robust_scale,none,numeric
dload,keep,0.5527503825555403,0.9938953162775331,0.0,8769333800332.797,none,robust_scale,none,numeric
dmean,keep,0.39590921303334514,0.9931134021769553,0.0,87526.01693145442,none,robust_scale,none,numeric
ackdat,keep,0.22279360928691827,0.9931896864794507,0.0,0.0028470258293894876,none,robust_scale,none,numeric
dttl,keep,0.2157592692386301,0.9958851562017395,0.0,13618.61523853823,none,robust_scale,none,numeric
ct_dst_ltm,review,0.3471156581722401,0.9961577340677685,0.0,17.787225125337454,none,robust_scale,none,numeric
ct_srv_dst,review,0.34678418710550973,0.9971226612410726,0.0,41.60203006488606,none,robust_scale,none,numeric
ct_srv_src,review,0.28482959376255457,0.9956733425544269,0.0,42.93750228625949,none,robust_scale,none,numeric
ct_src_ltm,review,0.26916750124422395,0.9942613488952534,0.0,24.783847383123526,none,robust_scale,none,numeric
dpkts,review,0.26654543323012025,0.9956854052430302,0.0,18614.608431023113,none,robust_scale,none,numeric
dloss,review,0.21639681657460608,0.9958165252927923,0.0,4305.100450493257,none,robust_scale,review_log_transform,numeric
tcprtt,review,0.19874510945835255,0.9941761479655283,0.0,0.011547218295318826,none,robust_scale,none,numeric
sloss,review,0.19413059829899293,0.996219700189322,0.0,6095.331624461922,none,robust_scale,none,numeric
synack,review,0.19305505391676125,0.9943890485659678,0.0,0.003953464634169499,none,robust_scale,none,numeric
spkts,review,0.19092539547069798,0.9961717071540035,0.0,26128.816566125028,none,robust_scale,review_log_transform,numeric
ct_dst_src_ltm,review,0.16399624443344762,0.9937401620016653,0.0,39.96176064199256,none,robust_scale,none,numeric
sjit,review,0.1440926442691588,0.9941146387710857,0.0,1975531211.234121,none,robust_scale,none,numeric
dinpkt,review,0.14180390932256492,0.993662903622907,0.0,1262875.0012826207,none,robust_scale,none,numeric
rate,review,0.1167919588569043,0.9931806393281593,0.0,13501565442.056952,none,robust_scale,review_log_transform,numeric
sload,review,0.10909174519849696,0.9935438651391953,0.0,4.198938928335936e+16,none,robust_scale,review_log_transform,numeric
