feature,ks_train_val,ks_train_test,stability_score
is_ftp_login,0.00034284517994931374,0.00025023660714362794,0.9996571548200507
ct_ftp_cmd,0.0003604012056162009,0.00026779263281051513,0.9996395987943838
is_sm_ips_ports,0.0002108103830433805,0.000671533219023801,0.9993284667809762
ct_dst_sport_ltm,0.0017389979643505082,0.00141371340851848,0.9982610020356495
sttl,0.0013289150938415872,0.0022142366795931956,0.9977857633204068
swin,0.0024325909628996056,0.0028540847485421517,0.9971459152514579
ct_srv_dst,0.002877338758927317,0.0019956733563361584,0.9971226612410726
ct_state_ttl,0.0022132711661250193,0.002910834524649908,0.9970891654753501
response_body_len,0.0016752261730517137,0.003027968097048195,0.9969720319029518
dwin,0.0034950670736590417,0.00338081001675572,0.9965049329263409
sloss,0.0033904709155781476,0.0037802998106780117,0.996219700189322
spkts,0.0038282928459964505,0.003218222470502574,0.9961717071540035
ct_dst_ltm,0.00384226593223147,0.0029795564757466586,0.9961577340677685
dttl,0.0010196895682054175,0.004114843798260548,0.9958851562017395
dloss,0.004183474707207702,0.003859219941605041,0.9958165252927923
trans_depth,0.00033352565406608026,0.0042171597376402525,0.9957828402623597
ct_flw_http_mthd,0.00037741571823335374,0.00423471576330714,0.9957652842366929
smean,0.004267569418541339,0.0025006392713452508,0.9957324305814587
dpkts,0.004314594756969825,0.00293921844718803,0.9956854052430302
ct_srv_src,0.0043266574455731455,0.0030246388221570886,0.9956733425544269
dur,0.0033907556953493567,0.0050619355309992065,0.9949380644690008
ct_src_dport_ltm,0.00542403687703874,0.0017948151951586722,0.9945759631229613
synack,0.004436491286150257,0.00561095143403223,0.9943890485659678
ct_src_ltm,0.005738651104746584,0.0027708286045167174,0.9942613488952534
djit,0.00435957593757097,0.005795241699409148,0.9942047583005909
tcprtt,0.005823852034471666,0.005093804606993713,0.9941761479655283
sjit,0.005885361228914254,0.004496395960685962,0.9941146387710857
sinpkt,0.005931985286756092,0.005052169657985495,0.9940680147132439
dload,0.006104683722466864,0.00565473119658505,0.9938953162775331
ct_dst_src_ltm,0.0062598379983347385,0.0018596323612292132,0.9937401620016653
dinpkt,0.00633709637709301,0.004272269282894481,0.993662903622907
sload,0.006456134860804652,0.004970091233154061,0.9935438651391953
dbytes,0.006518570668214818,0.003663100165185451,0.9934814293317852
stcpb,0.006742830423179358,0.004483596119059352,0.9932571695768206
ackdat,0.006810313520549283,0.006049565129695733,0.9931896864794507
rate,0.006819360671840802,0.004579305558074065,0.9931806393281593
dmean,0.006886597823044682,0.004120568964454341,0.9931134021769553
sbytes,0.008293352721010672,0.004460194916884708,0.9917066472789893
dtcpb,0.00903739111202062,0.009289421009994525,0.9907105789900055
