,precision,recall,f1-score,support
Analysis,0.13545491636066911,0.8157248157248157,0.2323303009097271,407.0
Backdoor,0.13394919168591224,0.15425531914893617,0.1433868974042027,376.0
DoS,0.208398133748056,0.12181818181818181,0.15375788869764773,1100.0
Exploits,0.6097612065354001,0.530526699471478,0.5673910924861124,5487.0
Fuzzers,0.3503668100177081,0.6607824427480916,0.45792693007108615,4192.0
Generic,0.6067073170731707,0.7855263157894737,0.6846330275229358,1520.0
Normal,0.9822635135135135,0.5426971535230984,0.6991283438533213,17144.0
Reconnaissance,0.46681749622926094,0.6196196196196196,0.5324731182795699,1998.0
Shellcode,0.17532467532467533,0.5567010309278351,0.26666666666666666,291.0
Worms,0.01809954751131222,0.7058823529411765,0.03529411764705882,34.0
accuracy,0.5569141909121632,0.5569141909121632,0.5569141909121632,0.5569141909121632
macro avg,0.3687142807999678,0.5493533931712706,0.3772988383538328,32549.0
weighted avg,0.7341450558308198,0.5569141909121632,0.5997016810952635,32549.0
