,precision,recall,f1-score,support
Analysis,0.12605042016806722,0.036855036855036855,0.057034220532319393,407.0
Backdoor,0.12903225806451613,0.0425531914893617,0.064,376.0
DoS,0.0,0.0,0.0,1099.0
Exploits,0.6083714846304774,0.8479489516864175,0.7084539223153085,5485.0
Fuzzers,0.42293090356871677,0.13287213740458015,0.20221455799600654,4192.0
Generic,0.9659367396593674,0.5223684210526316,0.6780529461998293,1520.0
Normal,0.8306626245127761,0.8953203407632162,0.861780398764392,17138.0
Reconnaissance,0.36336633663366336,0.7347347347347347,0.48625372639947,1998.0
Shellcode,0.0,0.0,0.0,291.0
Worms,0.0,0.0,0.0,34.0
accuracy,0.7020590043023971,0.7020590043023971,0.7020590043023971,0.7020590043023971
macro avg,0.3446350767237584,0.32126528139859784,0.30577897722073255,32540.0
weighted avg,0.665021156569611,0.7020590043023971,0.6623293797286236,32540.0
