,precision,recall,f1-score,support
Analysis,0.022526636225266364,0.18181818181818182,0.04008667388949079,407.0
Backdoor,0.0,0.0,0.0,376.0
DoS,0.0,0.0,0.0,1099.0
Exploits,0.20638262736355378,0.9113947128532361,0.3365536742181977,5485.0
Fuzzers,0.0,0.0,0.0,4192.0
Generic,1.0,0.001973684210526316,0.003939592908732764,1520.0
Normal,0.941737920063631,0.27634496440658185,0.4273018450850363,17138.0
Reconnaissance,0.0,0.0,0.0,1998.0
Shellcode,0.0,0.0,0.0,291.0
Worms,0.0,0.0,0.0,34.0
accuracy,0.30153657037492315,0.30153657037492315,0.30153657037492315,0.30153657037492315
macro avg,0.21706471836524513,0.1371531543288526,0.08078817861014576,32540.0
weighted avg,0.5777714052268987,0.30153657037492315,0.28246463987856374,32540.0
