,precision,recall,f1-score,support
Analysis,0.06925915413000285,0.5995085995085995,0.12417302798982188,407.0
Backdoor,0.043782837127845885,0.06648936170212766,0.05279831045406547,376.0
DoS,0.0776255707762557,0.015468607825295723,0.025796661608497723,1099.0
Exploits,0.7186544342507645,0.5569735642661805,0.6275677896466721,5485.0
Fuzzers,0.4021035598705502,0.3556774809160305,0.37746835443037974,4192.0
Generic,0.6722571628232006,0.6328947368421053,0.6519823788546255,1520.0
Normal,0.9981140547822183,0.6485004084490605,0.7861917730697131,17138.0
Reconnaissance,0.276285046728972,0.47347347347347346,0.34894872740686095,1998.0
Shellcode,0.07804878048780488,0.32989690721649484,0.126232741617357,291.0
Worms,0.007545931758530184,0.6764705882352942,0.014925373134328358,34.0
accuracy,0.5523355869698833,0.5523355869698833,0.5523355869698833,0.5523355869698833
macro avg,0.3343676532736145,0.4355353728434662,0.3136085138212322,32540.0
weighted avg,0.7516869962548258,0.5523355869698833,0.6245392242408843,32540.0
