,precision,recall,f1-score,support
Analysis,0.10476190476190476,0.02702702702702703,0.04296875,407.0
Backdoor,0.058823529411764705,0.005319148936170213,0.00975609756097561,376.0
DoS,0.1282051282051282,0.009099181073703366,0.016992353440951572,1099.0
Exploits,0.44843704352906805,0.5597082953509571,0.4979320411969832,5485.0
Fuzzers,0.21712629896083133,0.518368320610687,0.306056338028169,4192.0
Generic,0.6546666666666666,0.6460526315789473,0.6503311258278146,1520.0
Normal,0.8347788842488489,0.4548955537402264,0.5888884692374514,17138.0
Reconnaissance,0.27163198247535597,0.6206206206206206,0.37787597135456347,1998.0
Shellcode,0.046153846153846156,0.010309278350515464,0.016853932584269662,291.0
Worms,0.0,0.0,0.0,34.0
accuracy,0.46979102642901044,0.46979102642901044,0.46979102642901044,0.46979102642901044
macro avg,0.27645852844134144,0.2851400057288854,0.25076550792311786,32540.0
weighted avg,0.5972098687462118,0.46979102642901044,0.48846807521641766,32540.0
