,precision,recall,f1-score,support
Analysis,0.7192982456140351,0.123,0.21007685738684884,2000.0
Backdoor,0.0472078730062969,0.7170675830469645,0.08858386103937453,1746.0
DoS,0.24307036247334754,0.018590998043052837,0.034540221178609304,12264.0
Exploits,0.8525353670606043,0.43853502231006497,0.5791576033221277,33393.0
Fuzzers,0.704569786442779,0.6876374835019797,0.6960006679468982,18184.0
Generic,0.9976789266948937,0.977875,0.9876777011842537,40000.0
Normal,0.9998214604534904,1.0,0.9999107222569413,56000.0
Reconnaissance,0.568976897689769,0.7394909922790963,0.6431236010942551,10491.0
Shellcode,0.09809911744738628,0.25507502206531335,0.14170139740132384,1133.0
Worms,0.05128205128205128,0.3230769230769231,0.08851422550052687,130.0
accuracy,0.7532636405632454,0.7532636405632454,0.7532636405632454,0.7532636405632454
macro avg,0.5282540088164653,0.5280349024323395,0.44692868583111595,175341.0
weighted avg,0.842739321239126,0.7532636405632454,0.7722978717343609,175341.0
