,precision,recall,f1-score,support
Analysis,0.046471387961933015,0.9238329238329238,0.08849140974346906,407.0
Backdoor,0.0,0.0,0.0,376.0
DoS,0.0,0.0,0.0,1100.0
Exploits,0.375,0.0005467468562055768,0.001091901728844404,5487.0
Fuzzers,0.1416359918200409,0.8260973282442748,0.24181272257523917,4192.0
Generic,0.0,0.0,0.0,1520.0
Normal,0.0,0.0,0.0,17144.0
Reconnaissance,0.0,0.0,0.0,1998.0
Shellcode,0.0,0.0,0.0,291.0
Worms,0.0,0.0,0.0,34.0
accuracy,0.11803742050447018,0.11803742050447018,0.11803742050447018,0.11803742050447018
macro avg,0.05631073797819739,0.17504769989334043,0.03313960340475526,32549.0
weighted avg,0.08203867807336993,0.11803742050447018,0.03243375223776963,32549.0
