,precision,recall,f1-score,support
Analysis,0.147470398277718,0.3366093366093366,0.20508982035928144,407.0
Backdoor,0.1533442088091354,0.25,0.19009100101112233,376.0
DoS,0.20008100445524504,0.4494995450409463,0.2769058295964126,1099.0
Exploits,0.8554002541296061,0.6136736554238833,0.7146496815286624,5485.0
Fuzzers,0.5473465140478668,0.5019083969465649,0.5236436037829766,4192.0
Generic,0.9781021897810219,0.7934210526315789,0.8761351253178351,1520.0
Normal,0.8961851895594661,0.8855175633096044,0.8908194411833764,17138.0
Reconnaissance,0.6623376623376623,0.6636636636636637,0.663,1998.0
Shellcode,0.325,0.6254295532646048,0.42773207990599293,291.0
Worms,0.23809523809523808,0.14705882352941177,0.18181818181818182,34.0
accuracy,0.740319606637984,0.740319606637984,0.740319606637984,0.740319606637984
macro avg,0.500336265949296,0.5266781590419595,0.49498847645038413,32540.0
weighted avg,0.7865848762716747,0.740319606637984,0.7568576397404454,32540.0
