,precision,recall,f1-score,support
Normal,0.9444221776887107,0.824950402614074,0.8806527968107637,17138.0
Generic,0.9829129373474369,0.7947368421052632,0.878865041833394,1520.0
Exploits,0.8701923076923077,0.5609845031905196,0.6821860104201308,5485.0
Fuzzers,0.5010431154381085,0.6875,0.5796460176991151,4192.0
Recon-Shellcode,0.636395885065626,0.783748361730013,0.7024275646045419,2289.0
Medium,0.3468372423596304,0.7778958554729012,0.47976405046698345,1882.0
Worms,0.15384615384615385,0.058823529411764705,0.0851063829787234,34.0
accuracy,0.7549170251997541,0.7549170251997541,0.7549170251997541,0.7549170251997541
macro avg,0.6336642599197105,0.6412342135035052,0.6126639806876646,32540.0
weighted avg,0.8195329174515336,0.7549170251997541,0.7717835010466709,32540.0
