,precision,recall,f1-score,support
Normal,0.9841404265147432,0.7458863344614307,0.8486075613237295,17138.0
Generic,0.9909688013136289,0.7940789473684211,0.8816654492330168,1520.0
Exploits,0.7472545219638242,0.8435733819507748,0.7924980731352231,5485.0
Fuzzers,0.44330842836544765,0.8067748091603053,0.5722020133660435,4192.0
Recon-Shellcode,0.6316501352569883,0.6120576671035387,0.6216995784335478,2289.0
Medium,0.4547848990342406,0.5504782146652497,0.4980769230769231,1882.0
Worms,0.1875,0.08823529411764706,0.12,34.0
accuracy,0.7510448678549477,0.7510448678549477,0.7510448678549477,0.7510448678549477
macro avg,0.6342296017784104,0.6344406641181953,0.6192499426526404,32540.0
weighted avg,0.8186121245197173,0.7510448678549477,0.7680891746847751,32540.0
