,precision,recall,f1-score,support
Analysis,0.14549938347718866,0.31978319783197834,0.2,369.0
Backdoor,0.1334231805929919,0.2661290322580645,0.17773788150807898,372.0
DoS,0.1606714628297362,0.31337698783910195,0.212428662016487,1069.0
Exploits,0.8323430638078017,0.6048432513609912,0.700587084148728,5327.0
Fuzzers,0.42106280193236717,0.7414086423953726,0.53709637663298,2939.0
Generic,0.9182444061962134,0.7113333333333334,0.8016528925619835,1500.0
Normal,0.7291666666666666,0.012345679012345678,0.02428026361429067,2835.0
Reconnaissance,0.5163760102084219,0.6303219106957425,0.5676876315174187,1926.0
Shellcode,0.27034120734908135,0.36524822695035464,0.31070889894419307,282.0
Worms,0.18518518518518517,0.14705882352941177,0.16393442622950818,34.0
accuracy,0.503032486639044,0.503032486639044,0.503032486639044,0.503032486639044
macro avg,0.4312313368245654,0.4111849085206697,0.36961141171736683,16653.0
weighted avg,0.6286015965265433,0.503032486639044,0.4885265312128346,16653.0
